

Starting up round ID 57. 17:09:28
---------------------
[17:14:51]PDA: Snipay/(Nikolas Hoover) (PDA: geneticist PDA) sent "psst" to Alexander Lloyd (Roboticist) (54,141,2)
[17:15:29]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "yo" to Nikolas Hoover (Geneticist) (175,119,2)
[17:15:39]PDA: Snipay/(Nikolas Hoover) (PDA: geneticist PDA) sent "meet at meeting place" to Alexander Lloyd (Roboticist) (74,147,2)
[17:18:54]PDA: Snipay/(Nikolas Hoover) (PDA: geneticist PDA) sent "pssst" to Nydia Welty (Shaft Miner) (50,129,2)
[17:19:06]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "Hail brother" to Nikolas Hoover (Geneticist) (72,35,5)
[17:20:19]PDA: Snipay/(Nikolas Hoover) (PDA: geneticist PDA) sent "have you done &#34;it&#34; yet?" to Nydia Welty (Shaft Miner) (175,121,2)
[17:33:20]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "you still alive?" to Nydia Welty (Shaft Miner) (139,122,2)
[17:34:46]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "Yes" to Alexander Lloyd (Roboticist) (59,34,5)
[17:35:06]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "are you on the station brother?" to Nydia Welty (Shaft Miner) (148,156,2)
[17:35:11]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "No" to Alexander Lloyd (Roboticist) (51,36,5)
[17:36:30]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "Is Digson dead?" to Alexander Lloyd (Roboticist) (78,106,2)
[17:37:24]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "no" to Nydia Welty (Shaft Miner) (140,157,2)
[17:37:40]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "yes, sorry but the other is not" to Nydia Welty (Shaft Miner) (140,157,2)
[17:37:42]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "Very well" to Alexander Lloyd (Roboticist) (89,104,2)
[17:37:55]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "Are you sure, I saw him walk in the lava" to Alexander Lloyd (Roboticist) (89,104,2)
[17:38:00]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "nikolas died" to Nydia Welty (Shaft Miner) (140,157,2)
[17:38:15]PDA: Bobster7072/(Alexander Lloyd) (PDA: roboticist PDA) sent "ah then we are done, have fun traitoring" to Nydia Welty (Shaft Miner) (140,157,2)
[17:38:31]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "See you on the shuttle" to Alexander Lloyd (Roboticist) (89,104,2)
[17:39:56]PDA: Archimage/(Nydia Welty) (PDA: shaft miner PDA) sent "Also, check the Ore machine in Cargo" to Alexander Lloyd (Roboticist) (89,113,2)
