

Starting up round ID 337. 23:04:24
---------------------
[23:15:31]PDA: Yeti284/(James Blue) (PDA: atmospherics PDA) sent "I&#39;M GOINJG TO KILL YOU END LEIFE" to Tends-the-Garden (Botanist) (136,136,2)
[23:18:33]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "I got the disk but Sec saw me. I&#39;m hiding in a locker" to Madalina Blitz (Chemist) (160,90,2)
[23:22:32]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Are you alive?" to Madalina Blitz (Chemist) (160,90,2)
[23:22:59]PDA: GimmesumsuccPls/(Madalina Blitz) (PDA: chemist PDA) sent "Yea Im alive. NOW WILL YOU LISTEN TO ME?" to Peter Petrograd (Bartender) (59,138,2)
[23:23:10]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "What is it?" to Madalina Blitz (Chemist) (160,90,2)
[23:23:16]PDA: GimmesumsuccPls/(Madalina Blitz) (PDA: chemist PDA) sent "What locker are you hiding in." to Peter Petrograd (Bartender) (59,138,2)
[23:24:04]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "In an oxygen emergency closet. It&#39;s in near medbay, where the hacked door is in the bottom right hand corner" to Madalina Blitz (Chemist) (160,90,2)
[23:24:13]PDA: GimmesumsuccPls/(Madalina Blitz) (PDA: chemist PDA) sent "Im going to get you." to Peter Petrograd (Bartender) (94,135,2)
[23:24:25]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Alright, I&#39;m giving you the disk" to Madalina Blitz (Chemist) (160,90,2)
[23:26:17]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Uhh, I can go into medbay if you can&#39;t find me" to Madalina Blitz (Chemist) (160,90,2)
[23:26:49]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Wait, did you die in the explosion?" to Madalina Blitz (Chemist) (160,90,2)
[23:26:56]PDA: GimmesumsuccPls/(Madalina Blitz) (PDA: chemist PDA) sent "Im still here." to Peter Petrograd (Bartender) (130,128,2)
[23:27:00]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Oh alright" to Madalina Blitz (Chemist) (160,90,2)
[23:27:06]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Is medbay clear?" to Madalina Blitz (Chemist) (160,90,2)
[23:27:32]PDA: GimmesumsuccPls/(Madalina Blitz) (PDA: chemist PDA) sent "Dammit What locker are you in." to Peter Petrograd (Bartender) (128,118,2)
[23:27:54]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Nevermind. Meet me in medbay" to Madalina Blitz (Chemist) (160,90,2)
[23:28:01]PDA: GimmesumsuccPls/(Madalina Blitz) (PDA: chemist PDA) sent "Are you sure about that." to Peter Petrograd (Bartender) (174,128,2)
[23:35:56]PDA: Datmanisdumb/(Peter Petrograd) (PDA: bartender PDA) sent "Don&#39;t call the shuttle again. If you get perma brigged we are fucked" to Madalina Blitz (Chemist) (68,137,2)
