

Starting up round ID 373. 19:41:29
---------------------
[19:46:45]PDA: XXReCterXx/(Lina Bright) (PDA: research director PDA) sent "Hey , shafty boy , bring me diamonds and il make you a RIPLEY" to Huffie Fye (Shaft Miner) (179,103,2)
[19:48:23]PDA: Ilef/(Silence) (PDA: PDA) sent "Query, what is the purge?" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:48:50]PDA: Braincrab/(Lincoln Brinigh) (PDA: head of personnel PDA) sent "we all go around and kill eachother, your going to have an issue wth law one" to Silence (AI) (121,171,2)
[19:49:11]PDA: Ilef/(Silence) (PDA: PDA) sent "Very true" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:50:02]PDA: Ilef/(Silence) (PDA: PDA) sent "Very well." to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:50:54]PDA: Ilef/(Silence) (PDA: PDA) sent "I have locked down my AI core, if you need to go there, inform me first." to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:51:13]PDA: Braincrab/(Lincoln Brinigh) (PDA: head of personnel PDA) sent "got it, lock down your upload aswell." to Silence (AI) (112,135,2)
[19:51:28]PDA: Ilef/(Silence) (PDA: PDA) sent "Done" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:56:57]PDA: XXReCterXx/(Lina Bright) (PDA: research director PDA) sent "want an exosuit?" to Johnny Banana (Shaft Miner) (179,106,2)
[19:57:37]PDA: Ilef/(Silence) (PDA: PDA) sent "You should be able to take the axe, should you wish it." to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:58:42]PDA: Ilef/(Silence) (PDA: PDA) sent "I am detaning a meatbag in the hallway" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[19:59:31]PDA: Braincrab/(Lincoln Brinigh) (PDA: head of personnel PDA) sent "dont do that crap unitl i call for it" to Silence (AI) (112,135,2)
[19:59:55]PDA: Ilef/(Silence) (PDA: PDA) sent "Per your orders" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[20:00:26]PDA: Ilef/(Silence) (PDA: PDA) sent "Someone ordered a plasma assembly crate" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[20:07:56]PDA: XXReCterXx/(Lina Bright) (PDA: research director PDA) sent "Hey HoP , got an odysseus , can you give me medical acces soo i can get medical syringes" to Lincoln Brinigh (Head of Personnel) (172,124,2)
[20:10:08]PDA: Ilef/(Silence) (PDA: PDA) sent "Are we ready to move?" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[20:16:29]PDA: Ilef/(Silence) (PDA: PDA) sent "Hello?" to Lincoln Brinigh (Head of Personnel) (150,32,2)
[21:08:36]PDA: Ilef/(Silence) (PDA: PDA) sent "Escape through genetics" to Lina Bright (Research Director) (150,32,2)
[21:09:15]PDA: XXReCterXx/(Lina Bright) (PDA: research director PDA) sent "open" to Silence (AI) (195,81,2)
[21:19:48]PDA: Ilef/(Silence) (PDA: PDA) sent "Hide!" to Stanly Law (Station Engineer) (150,32,2)
[21:20:12]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "Why ?" to Silence (AI) (198,102,2)
[21:20:24]PDA: Ilef/(Silence) (PDA: PDA) sent "Weaponized Changeling from command." to Stanly Law (Station Engineer) (150,32,2)
[21:20:30]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "Dang" to Silence (AI) (198,102,2)
[21:20:31]PDA: Ilef/(Silence) (PDA: PDA) sent "If you see an EVA, run" to Stanly Law (Station Engineer) (150,32,2)
[21:20:36]PDA: Ilef/(Silence) (PDA: PDA) sent "An exo suit" to Stanly Law (Station Engineer) (150,32,2)
[21:20:41]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "Im thinking how to kill him" to Silence (AI) (198,102,2)
[21:20:49]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "Il try to make a flamethrower" to Silence (AI) (198,102,2)
[21:21:11]PDA: Ilef/(Silence) (PDA: PDA) sent "Good luck" to Stanly Law (Station Engineer) (150,32,2)
[21:21:25]PDA: Ilef/(Silence) (PDA: PDA) sent "I cannot help you harm them" to Stanly Law (Station Engineer) (150,32,2)
[21:21:32]PDA: Ilef/(Silence) (PDA: PDA) sent "But I can try to keep you safe" to Stanly Law (Station Engineer) (150,32,2)
[21:21:34]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "why changelings arent human" to Silence (AI) (196,84,2)
[21:21:48]PDA: Ilef/(Silence) (PDA: PDA) sent "My program has been changed. It is still a good one though." to Stanly Law (Station Engineer) (150,32,2)
[21:21:56]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "ok" to Silence (AI) (198,100,2)
[21:22:00]PDA: Ilef/(Silence) (PDA: PDA) sent "Get the hell out" to Stanly Law (Station Engineer) (150,32,2)
[21:22:51]PDA: Xahrov/(Stanly Law) (PDA: engineering PDA) sent "Bolt it shut !" to Silence (AI) (206,137,2)
[21:23:06]PDA: Ilef/(Silence) (PDA: PDA) sent "It is in" to Stanly Law (Station Engineer) (150,32,2)
[21:23:10]PDA: Ilef/(Silence) (PDA: PDA) sent "Good luck." to Stanly Law (Station Engineer) (150,32,2)
