

Starting up round ID 433. 22:18:42
---------------------
[22:38:44]PDA: ChemicalPills5379/(Robuster 9000 Mk.3) (PDA: PDA) sent "help" to Six-Nine (Captain) (150,32,2)
[22:48:45]PDA: Datmanisdumb/(Bubbles) (PDA: clown PDA) sent "Lawrence, let&#39;s team up" to Lawrence Hice (Quartermaster) (159,85,2)
[22:49:10]PDA: Datmanisdumb/(Bubbles) (PDA: clown PDA) sent "You there bbuddy?" to Lawrence Hice (Quartermaster) (159,85,2)
[22:49:26]PDA: Braincrab/(Lawrence Hice) (PDA: quartermaster PDA) sent "yeah" to Bubbles (Clown) (59,140,2)
[22:49:29]PDA: Braincrab/(Lawrence Hice) (PDA: quartermaster PDA) sent "vomiting" to Bubbles (Clown) (59,140,2)
[22:49:32]PDA: Braincrab/(Lawrence Hice) (PDA: quartermaster PDA) sent "arrivals" to Bubbles (Clown) (59,140,2)
[22:49:35]PDA: Datmanisdumb/(Bubbles) (PDA: clown PDA) sent "Let&#39;s team up" to Lawrence Hice (Quartermaster) (159,85,2)
[22:49:38]PDA: Datmanisdumb/(Bubbles) (PDA: clown PDA) sent "Okay" to Lawrence Hice (Quartermaster) (159,85,2)
[22:49:40]PDA: Braincrab/(Lawrence Hice) (PDA: quartermaster PDA) sent "agreed" to Bubbles (Clown) (59,140,2)
[22:53:11]PDA: Braincrab/(Lawrence Hice) (PDA: quartermaster PDA) sent "im in arrivals lunge wearing black shit if you wish to team up" to Bubbles (Clown) (56,140,2)
[22:53:19]PDA: Datmanisdumb/(Bubbles) (PDA: clown PDA) sent "Okay" to Lawrence Hice (Quartermaster) (59,129,2)
[22:53:33]PDA: Braincrab/(Lawrence Hice) (PDA: quartermaster PDA) sent "ive got appendicitis and no tc left" to Bubbles (Clown) (56,140,2)
