

Starting up round ID 485. 01:16:37
---------------------
[01:22:54]PDA: AsciiSquid/(Brouzof Chomski) (PDA: roboticist PDA) sent "Ayyy" to Sloppy Joe (Shaft Miner) (174,122,2)
[01:35:36]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Im a blood brother, ill help you if you help me, Syndies have to sttick together" to Giggles (Clown) (102,120,2)
[01:35:48]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "You weren&#39;t even accepted into the syndicate yet?!" to Kane Rathens (Head of Personnel) (100,120,2)
[01:35:52]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "HAAAAH YOU SUCK" to Kane Rathens (Head of Personnel) (100,120,2)
[01:35:55]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "But yeah, Sure." to Kane Rathens (Head of Personnel) (100,120,2)
[01:35:59]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "My goals are to kill the CMO And shaft miner. What are yours?" to Giggles (Clown) (102,120,2)
[01:36:10]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Roboticist and medal of captaincy" to Kane Rathens (Head of Personnel) (100,120,2)
[01:36:47]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Let&#39;s hide contraband on them" to Kane Rathens (Head of Personnel) (100,120,2)
[01:36:56]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "And jail them because we saw it for some reason" to Kane Rathens (Head of Personnel) (100,120,2)
[01:37:01]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Sweet, i can get the medal, i dont know about the roboticist, i dont have TOO much power here. I am armed though. I can help you out and maybe i can get my teamate to help out" to Giggles (Clown) (102,120,2)
[01:37:12]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Who&#39;s your teammate?" to Kane Rathens (Head of Personnel) (100,120,2)
[01:37:36]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Contraband? I dont have much. I can maybe get a hand tele. Teamate is Alan begum." to Giggles (Clown) (102,120,2)
[01:37:46]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Ill go get your medal if i can." to Giggles (Clown) (102,120,2)
[01:37:52]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "I have an idea now" to Kane Rathens (Head of Personnel) (100,120,2)
[01:38:05]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Yes?" to Giggles (Clown) (111,134,2)
[01:38:05]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "I&#39;ll get my box of storage and shit" to Kane Rathens (Head of Personnel) (100,120,2)
[01:38:12]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Ok" to Giggles (Clown) (107,134,2)
[01:38:13]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "I&#39;ll give it to him" to Kane Rathens (Head of Personnel) (100,120,2)
[01:38:21]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Then you come up and shoot him and jail him for contraband" to Kane Rathens (Head of Personnel) (100,120,2)
[01:38:37]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "We use execution" to Kane Rathens (Head of Personnel) (100,120,2)
[01:38:44]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Ok, but doesnt he need to be dead? We need to pin him for a capital crime." to Giggles (Clown) (103,118,2)
[01:38:58]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Yeah, We authorize execution" to Kane Rathens (Head of Personnel) (100,120,2)
[01:39:05]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Murder him for being an enemy of the corporation" to Kane Rathens (Head of Personnel) (100,120,2)
[01:39:11]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Ok" to Giggles (Clown) (103,119,2)
[01:39:13]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "and having possible contraband on his storage" to Kane Rathens (Head of Personnel) (100,120,2)
[01:40:34]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "shit bro" to Kane Rathens (Head of Personnel) (100,120,2)
[01:40:47]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Kill the Captain....?" to Kane Rathens (Head of Personnel) (100,120,2)
[01:41:08]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Ill do what i can but ive never been good at doing dirty work, ill stay back here and may operate if needed, ill leave the planning to you guys" to Giggles (Clown) (102,120,2)
[01:41:26]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "But I don&#39;t have lethals." to Kane Rathens (Head of Personnel) (100,120,2)
[01:41:46]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "Let&#39;s get the roboticist, then we can rest easy." to Kane Rathens (Head of Personnel) (100,120,2)
[01:42:03]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "I can get you lethal weaponry." to Giggles (Clown) (102,120,2)
[01:42:13]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "I got storage implant, I can hide it there" to Kane Rathens (Head of Personnel) (100,120,2)
[01:42:18]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "What would you say about being reassigned to the security role?" to Giggles (Clown) (102,120,2)
[01:42:26]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "HEHEHE, YEAH." to Kane Rathens (Head of Personnel) (100,120,2)
[01:42:32]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "We got a HoS?" to Kane Rathens (Head of Personnel) (100,120,2)
[01:42:41]PDA: Cscottburgess/(Kane Rathens) (PDA: head of personnel PDA) sent "Let me check" to Giggles (Clown) (102,120,2)
[01:42:46]PDA: MintyBoi32/(Giggles) (PDA: clown PDA) sent "I can be CoS, Clown of Security, with all HoS access" to Kane Rathens (Head of Personnel) (100,120,2)
[01:50:13]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "What&#39;s your deal bro? All I want is insulated" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:50:22]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "I&#39;m not hurting anyone" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:50:24]PDA: Yoshka/(Jimena Hincken) (PDA: atmospherics PDA) sent "I see you already have gloves" to Peter Petrograd (Cook) (109,75,2)
[01:50:34]PDA: Yoshka/(Jimena Hincken) (PDA: atmospherics PDA) sent "You don&#39;t need to be in here." to Peter Petrograd (Cook) (109,75,2)
[01:50:38]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "I don&#39;t have insulated, just budget" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:50:49]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "Yeah, and?" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:51:02]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "Again, I didn&#39;t hurt anybody" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:51:25]PDA: Yoshka/(Jimena Hincken) (PDA: atmospherics PDA) sent "I&#39;ll give you some gloves. Just don&#39;t bother us." to Peter Petrograd (Cook) (121,76,2)
[01:51:35]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "Alrighty" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:51:56]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "I want you to put it in my kitchen. Just throw it in" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:52:15]PDA: Yoshka/(Jimena Hincken) (PDA: atmospherics PDA) sent "Its on your table." to Peter Petrograd (Cook) (150,131,2)
[01:52:28]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "Alright, I&#39;m gonna come soon" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:52:35]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "Gonna wait a bit though" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:53:22]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "Liar" to Jimena Hincken (Atmospheric Technician) (149,143,2)
[01:53:32]PDA: Yoshka/(Jimena Hincken) (PDA: atmospherics PDA) sent "Barkeep stole them, I&#39;m getting another pair" to Peter Petrograd (Cook) (108,80,2)
