

Starting up round ID 550. 00:05:16
---------------------
[00:21:45]PDA: 2cwldys/(Makes-The-Kush) (PDA: PDA) sent "do you have nv goggles?" to Three Taps (Scientist) (181,130,2)
[00:32:43]PDA: cthulhuonice/(Eduardo Sheets) (PDA: PDA) sent "you look like you&#39;d need some crank or space drugs, want some? I have basically everything." to Woodrow Tanner (Head of Personnel) (78,91,2)
[00:32:53]PDA: Cscottburgess/(Woodrow Tanner) (PDA: head of personnel PDA) sent "Im good" to Eduardo Sheets (Assistant) (102,120,2)
[00:33:07]PDA: cthulhuonice/(Eduardo Sheets) (PDA: PDA) sent "you look like you need some drugs" to Isabel Williamson (Assistant) (79,91,2)
[00:33:24]PDA: cthulhuonice/(Eduardo Sheets) (PDA: PDA) sent "you look like you need some drugs in your life" to Kayla Moore (Scientist) (79,91,2)
[00:39:06]PDA: Catmanpop/(Catitao) (PDA: PDA) sent "Made Mannitol Pills. 10 9u pills" to Beau Richards (Chief Medical Officer) (135,125,2)
[00:41:20]PDA: Lucaszecron/(Sage Wright) (PDA: PDA) sent "hello" to John Freeman (Cargo Technician) (61,125,2)
[00:43:58]PDA: Ilef/(Tiffany Blyant) (PDA: bartender PDA) sent "Are you there? Are you ok%?" to Nika Kerlley (Cook) (140,124,2)
[00:44:13]PDA: FoxyKawaii/(Nika Kerlley) (PDA: cook PDA) sent "Yeah, im requesting a food crate and im looking a space cleaner" to Tiffany Blyant (Bartender) (91,120,2)
[00:44:43]PDA: Ilef/(Tiffany Blyant) (PDA: bartender PDA) sent "Your kitchen blew up" to Nika Kerlley (Cook) (143,136,2)
[00:45:02]PDA: FoxyKawaii/(Nika Kerlley) (PDA: cook PDA) sent "WHAT? WHO DID THAT?" to Tiffany Blyant (Bartender) (91,120,2)
[00:45:23]PDA: Ilef/(Tiffany Blyant) (PDA: bartender PDA) sent "I dunno. Botany blew up, and your kitchen with it" to Nika Kerlley (Cook) (128,115,2)
[00:52:49]PDA: MonkeyMan901/(Jerry Robinson) (PDA: scientist PDA) sent "YOU ALIVE?" to Jesus Kiefer (Scientist) (180,108,2)
[00:53:01]PDA: MonkeyMan901/(Jerry Robinson) (PDA: scientist PDA) sent "Canister at evac" to Jesus Kiefer (Scientist) (180,108,2)
[00:54:02]PDA: Catmanpop/(Catitao) (PDA: PDA) sent "Any more chems ya want me to make?" to Beau Richards (Chief Medical Officer) (135,125,2)
[00:54:15]PDA: Catmanpop/(Catitao) (PDA: PDA) sent "Also. Bring food" to Beau Richards (Chief Medical Officer) (135,125,2)
[00:54:33]PDA: BuckyBoy/(Beau Richards) (PDA: scientist PDA) sent "Yes" to Jerry Robinson (Scientist) (150,106,2)
