

Starting up round ID 652. 06:25:52
---------------------
[07:10:48]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 2) (175,149,2)
[07:10:50]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 0) 
[07:13:27]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:28]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:29]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:29]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:29]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:30]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:30]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:31]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:31]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:13:32]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:07]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:08]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:08]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:09]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:09]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:10]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:10]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:11]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:11]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:14:11]ATTACK: John Mason(swatblack) fired at captain's locker with The laser Captain's Office   (124,124,2)
[07:17:08]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 2) (163,125,2)
[07:17:09]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 0) 
[07:17:41]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 2) (190,123,2)
[07:17:43]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 0) 
[07:17:59]ATTACK: John Mason(swatblack) has thrown breath mask with    (192,121,2)
[07:23:20]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 2) (138,104,2)
[07:23:22]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 0) 
[07:23:46]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 2) (162,104,2)
[07:23:48]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 0) 
[07:24:07]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 2) (163,80,2)
[07:24:08]ATTACK: John Mason(swatblack) attacked mouse with  (NEWHP: 0) 
[07:25:02]ATTACK: John Mason(swatblack) grabbed monkey (200) with passive grab (NEWHP: 100) (160,118,2)
[07:31:26]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 100) (64,171,2)
[07:31:34]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 100) (64,172,2)
[07:31:37]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 100) (63,172,2)
[07:31:56]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 93) (64,174,2)
[07:32:57]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 93) (64,173,2)
[07:33:11]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 87) (64,176,2)
[07:33:24]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 87) (64,177,2)
[07:33:34]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 87) (64,176,2)
[07:33:40]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,175,2)
[07:34:38]ATTACK: Archaon Kuroi(alfa5) attacked Archaon Kuroi(alfa5) with cable coil(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 76.5) (64,175,2)
[07:34:46]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,179,2)
[07:34:47]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,179,2)
[07:34:49]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,180,2)
[07:34:51]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,181,2)
[07:35:50]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,180,2)
[07:35:51]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,180,2)
[07:35:52]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (64,180,2)
[07:40:00]ATTACK: John Mason(swatblack) fed John Mason(swatblack) with styptic_powder (20u) (NEWHP: 85) (143,107,2)
[07:51:05]ATTACK: Helps-The-Station(greentea98) has thrown Zippo lighter with    (144,135,2)
[07:58:56]ATTACK: Helps-The-Station(greentea98) has thrown tinfoil hat with    (143,135,2)
[08:02:24]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (191,80,2)
[08:04:33]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (191,80,2)
[08:04:40]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (193,82,2)
[08:04:45]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (194,82,2)
[08:04:53]ATTACK: Kayla Moore(luigiboiby) grabbed Helps-The-Station(greentea98) with passive grab (NEWHP: 100) (143,135,2)
[08:04:53]ATTACK: Kayla Moore(luigiboiby) cinched Helps-The-Station(greentea98) with  (NEWHP: 100) (143,135,2)
[08:04:56]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (195,82,2)
[08:04:59]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (196,81,2)
[08:05:11]ATTACK: Kayla Moore(luigiboiby) grabbed Helps-The-Station(greentea98) with passive grab (NEWHP: 100) (144,134,2)
[08:05:11]ATTACK: Kayla Moore(luigiboiby) cinched Helps-The-Station(greentea98) with  (NEWHP: 100) (144,134,2)
[08:05:17]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (194,82,2)
[08:05:18]ATTACK: power cable electrocuted Archaon Kuroi(alfa5) with  (NEWHP: 76.5) (193,82,2)
