

Starting up round ID 877. 19:21:28
---------------------
[19:51:48]PDA: Catmanpop/(Speakerfox v1.0.2) (PDA: PDA) sent "Can you please tell this AI down please," to Jhonson Lutherfield (Captain) (98,127,2)
[19:53:26]PDA: Iagotodesco/(Jhonson Lutherfield) (PDA: captain PDA) sent "where are the nuke disk?" to Ashlyn Fraser (Roboticist) (129,122,2)
[19:53:38]PDA: AzlanonPc/(Ashlyn Fraser) (PDA: roboticist PDA) sent "Its on my locker on robotics, no one has entered yet" to Jhonson Lutherfield (Captain) (176,118,2)
[19:57:28]PDA: Infinitys true end/(Fixes-The-Station) (PDA: curator PDA) sent "HI AI" to Speakerfox v1.0.2 (pAI Messenger) (99,112,2)
[19:57:43]PDA: Catmanpop/(Speakerfox v1.0.2) (PDA: PDA) sent "Hello." to Fixes-The-Station (Curator) (173,129,2)
[20:02:56]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "can you repair my cameras?" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:03:03]PDA: David Blanc2/(Edwin Saylor) (PDA: chief engineer PDA) sent "where" to B.O.I. (AI) (113,71,2)
[20:03:17]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "above engineering hallway" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:03:33]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "service hall" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:03:43]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "arrivals" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:03:47]PDA: David Blanc2/(Edwin Saylor) (PDA: chief engineer PDA) sent "can you un bolt the supermatter chamber i need to upgrade the pipes" to B.O.I. (AI) (113,71,2)
[20:03:47]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "chapel" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:04:03]PDA: David Blanc2/(Edwin Saylor) (PDA: chief engineer PDA) sent "not the inner one ok?" to B.O.I. (AI) (113,70,2)
[20:05:57]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "thanks" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:30:39]PDA: Catmanpop/(Speakerfox v1.0.2) (PDA: PDA) sent "how are you holding up?" to Fixes-The-Station (Curator) (119,163,2)
[20:43:01]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "thank you" to Edwin Saylor (Chief Engineer) (150,32,2)
[20:43:28]PDA: Kevinspacey2002/(B.O.I.) (PDA: PDA) sent "it&#39;s ok" to Edwin Saylor (Chief Engineer) (150,32,2)
