

Starting up round ID 1059. 01:11:26
---------------------
[01:18:04]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "This is going to be a fun one yea?" to Bands-In-My-Pockets (Shaft Miner) (117,80,2)
[01:18:17]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "ready for a fun round" to Matt Yevpraksiya (Scientist) (117,80,2)
[01:18:26]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "fuck yeah dude" to Tends-The-Floor (Chief Engineer) (114,86,2)
[01:18:35]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "I need a toolbelt" to Tends-The-Floor (Chief Engineer) (115,86,2)
[01:18:47]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "come to engi" to Matt Yevpraksiya (Scientist) (116,83,2)
[01:18:51]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "im here nerd" to Tends-The-Floor (Chief Engineer) (115,86,2)
[01:21:33]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "Whats your thoughts on the sm, boom or no boom" to Matt Yevpraksiya (Scientist) (108,66,2)
[01:21:37]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "no boom yet" to Tends-The-Floor (Chief Engineer) (143,124,2)
[01:21:41]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "ok" to Matt Yevpraksiya (Scientist) (119,61,2)
[01:21:45]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "lets get to work first" to Tends-The-Floor (Chief Engineer) (140,137,2)
[01:22:07]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "I&#39;ll set it up then, just gime the word and I&#39;ll destabilize it" to Matt Yevpraksiya (Scientist) (119,66,2)
[01:22:18]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "Oh, can you grab me a hardsuit?" to Tends-The-Floor (Chief Engineer) (122,151,2)
[01:22:32]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "yea" to Matt Yevpraksiya (Scientist) (122,65,2)
[01:22:44]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "I&#39;m at the foyer" to Tends-The-Floor (Chief Engineer) (115,87,2)
[01:23:50]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "actually just want all engi access" to Matt Yevpraksiya (Scientist) (122,84,2)
[01:23:59]PDA: Raddog/(Matt Yevpraksiya) (PDA: scientist PDA) sent "sure" to Tends-The-Floor (Chief Engineer) (69,144,2)
[01:24:04]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "waitup" to Matt Yevpraksiya (Scientist) (120,86,2)
[01:24:09]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "got a cook outside" to Matt Yevpraksiya (Scientist) (120,86,2)
[01:24:34]PDA: Lerskull/(Tends-The-Floor) (PDA: chief engineer PDA) sent "also have a chap" to Matt Yevpraksiya (Scientist) (118,86,2)
[01:39:50]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "lee what are u doing?" to Lee Crow (Chaplain) (153,107,2)
[01:40:10]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Was disguised as cmo when I attacked viro but i was wearing crusading armor" to Peter Petrograd (Cook) (177,146,2)
[01:40:25]PDA: AzlanonPc/(Jetra Norlan) (PDA: research director PDA) sent "come get the ripley qucc" to Yukikage Sora (Shaft Miner) (173,118,2)
[01:40:29]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "uhh" to Lee Crow (Chaplain) (130,130,2)
[01:40:34]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "are we okay?" to Lee Crow (Chaplain) (130,130,2)
[01:40:38]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Yup" to Peter Petrograd (Cook) (177,146,2)
[01:40:52]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "alright good" to Lee Crow (Chaplain) (129,128,2)
[01:41:00]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "is that all of our objectives?" to Peter Petrograd (Cook) (123,113,2)
[01:41:10]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "yee yee" to Lee Crow (Chaplain) (132,160,2)
[01:41:19]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "People breaking into caps. Come to tp room" to Peter Petrograd (Cook) (125,117,2)
[01:41:27]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "alright in a sec" to Lee Crow (Chaplain) (118,174,2)
[01:42:12]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "DONT GO just stole caps laser" to Peter Petrograd (Cook) (131,148,2)
[01:42:26]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "okay, im right outside of tp room" to Lee Crow (Chaplain) (129,120,2)
[01:43:01]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "I ran to arrivals" to Peter Petrograd (Cook) (72,133,2)
[01:43:08]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "coming" to Lee Crow (Chaplain) (133,128,2)
[01:43:20]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Bring rad suits?" to Peter Petrograd (Cook) (76,131,2)
[01:43:25]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "why?" to Lee Crow (Chaplain) (53,143,2)
[01:43:33]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Crystal is about to explode." to Peter Petrograd (Cook) (75,133,2)
[01:43:39]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Meaning tons of radiation damage." to Peter Petrograd (Cook) (75,133,2)
[01:43:51]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "yeah but only in engineering" to Lee Crow (Chaplain) (59,137,2)
[01:44:00]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "What ever you say mate." to Peter Petrograd (Cook) (68,133,2)
[01:44:11]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Now do we need to do anything else to secure our victory?" to Peter Petrograd (Cook) (68,133,2)
[01:44:23]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "no, lets just ask cap to bail" to Lee Crow (Chaplain) (153,128,2)
[01:44:35]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Alright Or i can call it myself" to Peter Petrograd (Cook) (56,147,2)
[01:44:42]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "i guess" to Lee Crow (Chaplain) (186,135,2)
[01:46:42]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Meet me at engineering" to Peter Petrograd (Cook) (114,112,2)
[01:46:50]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "its blown up" to Lee Crow (Chaplain) (98,139,2)
[01:46:58]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "We need an emitter anyways." to Peter Petrograd (Cook) (121,84,2)
[01:47:01]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Stole caps locker." to Peter Petrograd (Cook) (121,84,2)
[01:47:17]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "did you break the other console?" to Lee Crow (Chaplain) (126,117,2)
[01:47:22]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "in caps office?" to Lee Crow (Chaplain) (126,117,2)
[01:47:23]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Couldnt" to Peter Petrograd (Cook) (121,84,2)
[01:47:27]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "damn" to Lee Crow (Chaplain) (130,114,2)
[01:47:42]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "fuck" to Lee Crow (Chaplain) (170,130,2)
[01:47:50]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "About to right now" to Peter Petrograd (Cook) (124,125,2)
[01:48:13]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "lets me at dorms, we may have to fight" to Lee Crow (Chaplain) (97,123,2)
[01:48:23]PDA: Dsgkl/(Lee Crow) (PDA: chaplain PDA) sent "Cant right now." to Peter Petrograd (Cook) (117,136,2)
[01:51:20]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "we gotta kill Jetra" to Lee Crow (Chaplain) (132,173,2)
