

Starting up round ID 1261. 02:11:37
---------------------
swindel \ Protect-and-Serve \ Janitor \ traitor \ ROUNDSTART
azlanonpc \ Jetra Norlan \ Research Director \ brother \ ROUNDSTART
gracefuljohnnynguyen \ Pull-Up-Wit-A-Choppa-Let-It-Eat \ Medical Doctor \ brother \ ROUNDSTART
Jesslynbrooke \ Jess Jenkers \ Chemist \ NONE \ LATEJOIN
PapaPutin \ Indrick Boreale \ Scientist \ NONE \ LATEJOIN
Pudgems \ Black Geezus \ Scientist \ NONE \ LATEJOIN
CthulhuOnIce \ Declan Judge \ Captain \ NONE \ LATEJOIN
Wayne.Toggles \ Anderson Brandenburg \ Janitor \ NONE \ LATEJOIN
BuckyBoy \ Beau Richards \ Cook \ NONE \ LATEJOIN
Ornagbal \ Spike Stocker \ Chemist \ NONE \ LATEJOIN
Charmington0 \ Keziah Zalack \ Quartermaster \ NONE \ LATEJOIN
GreenTea98 \ Chuckles-The-Fuck \ Clown \ NONE \ LATEJOIN
BUMMERZZ \ Mr Beret \ Mime \ NONE \ LATEJOIN
waynetoggles \ Anderson Brandenburg \ Scientist \ NONE \ LATEJOIN
AzraelKnightquest \ Azrael Watts \ Assistant \ NONE \ LATEJOIN
AsciiSquid \ Silkwyrm \ Chief Engineer \ NONE \ LATEJOIN
Disguiser \ Isaac Wile \ Assistant \ NONE \ LATEJOIN
