

Starting up round ID 1277. 00:14:19
---------------------
[00:33:45]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "Hi" to Tyron Jamal (Captain) (96,119,2)
[00:50:30]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "?" to Peter Petrograd (Cook) (125,112,2)
[00:50:37]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "u dum" to Silence (Mime) (35,18,5)
[00:50:42]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "What?" to Peter Petrograd (Cook) (97,115,2)
[00:50:53]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "azrael is killing peeps" to Silence (Mime) (35,18,5)
[00:51:06]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "Ok" to Peter Petrograd (Cook) (116,111,2)
[00:51:19]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "So are you, no?" to Peter Petrograd (Cook) (120,112,2)
[00:51:34]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "no i am not a baddie" to Silence (Mime) (35,18,5)
[00:52:16]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "Then why did you shoot me earlier?" to Peter Petrograd (Cook) (119,140,2)
[00:52:22]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "In the halls?" to Peter Petrograd (Cook) (123,140,2)
[00:52:29]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "I didn&#39;t" to Silence (Mime) (35,18,5)
[00:52:38]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "Boy ya did" to Peter Petrograd (Cook) (101,112,2)
[00:52:45]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "no I didn&#39;t" to Silence (Mime) (35,18,5)
[00:52:54]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "maybe its a ling" to Silence (Mime) (35,18,5)
[00:53:01]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "or a different guy in a space suit" to Silence (Mime) (35,18,5)
[00:53:12]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "Sure" to Peter Petrograd (Cook) (108,111,2)
[00:53:26]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "i bolted the door open to EVA, so anybody can get in there" to Silence (Mime) (35,18,5)
[00:54:02]PDA: Unoriginal.exe/(Silence) (PDA: mime PDA) sent "Not open now" to Peter Petrograd (Cook) (96,122,2)
[00:54:18]PDA: Datmanisdumb/(Peter Petrograd) (PDA: cook PDA) sent "in maintenence" to Silence (Mime) (35,18,5)
