[2018-07-09 01:05:05.765] Starting up round ID 1472.
[2018-07-09 01:05:05.765] -------------------------
[2018-07-09 01:17:47.147] PDA: Re12/(Taya Velvet) (PDA: chemist PDA) sent "Permission to make Mindbreaker toxin for my Reality Dissociation?" to George Melons (Captain) (121,124,2)
[2018-07-09 01:30:27.701] PDA: BuckyBoy/(Beau Richards) (PDA: �PDA) sent "Come holodeck fight me u nerd" to Melissa Baker (Head of Security) (156,166,2)
[2018-07-09 01:33:05.081] PDA: BuckyBoy/(Beau Richards) (PDA: �PDA) sent "are you dead?" to Melissa Baker (Head of Security) (152,165,2)
[2018-07-09 01:47:36.895] PDA: Chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Beau" to Beau Richards (Assistant) (156,165,2)
[2018-07-09 01:47:52.118] PDA: Chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "She suffers from depression, can we do something like exploring?" to Beau Richards (Assistant) (156,165,2)
[2018-07-09 01:47:55.461] PDA: Chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Not fight" to Beau Richards (Assistant) (156,165,2)
[2018-07-09 01:58:51.314] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Julia..." to Julia Luna (Bartender) (111,157,2)
[2018-07-09 01:58:58.199] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Do not make me cry..." to Julia Luna (Bartender) (111,157,2)
[2018-07-09 01:59:14.648] PDA: qwertyquerty/(Julia Luna) (PDA: bartender PDA) sent "..." to Melissa Baker (Head of Security) (139,132,2)
[2018-07-09 01:59:22.488] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Please..." to Julia Luna (Bartender) (138,135,2)
[2018-07-09 01:59:27.990] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Just talk to me..." to Julia Luna (Bartender) (138,135,2)
[2018-07-09 01:59:40.171] PDA: qwertyquerty/(Julia Luna) (PDA: bartender PDA) sent "...just  give me a minute" to Melissa Baker (Head of Security) (79,167,2)
[2018-07-09 01:59:50.650] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "You are literally one of my best friends..." to Julia Luna (Bartender) (128,133,2)
[2018-07-09 02:00:53.625] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Please..." to Julia Luna (Bartender) (122,134,2)
[2018-07-09 02:02:09.671] PDA: chuchundra3/(Melissa Baker) (PDA: head of security PDA) sent "Fine, I am just gonna cry in restrooms..." to Julia Luna (Bartender) (95,147,2)
