[2018-07-13 22:44:55.521] Starting up round ID 1538.
[2018-07-13 22:44:55.521] -------------------------
[2018-07-13 23:05:16.883] PDA: Greebman/(Akon) (PDA: medical PDA) sent "stay away from the lizard, it will harm you" to Tom Anderson (Janitor) (142,122,2)
[2018-07-13 23:10:04.891] PDA: Unoriginal.exe/(Vinny Garland) (PDA: quartermaster PDA) sent "Uhh... cap, you&#39;re covered in a flammable liquid, might wanna shower" to Helps-The-Station (Captain) (85,120,2)
[2018-07-13 23:10:22.135] PDA: GreenTea98/(Helps-The-Station) (PDA: captain PDA) sent "Huh, wonder how that happened. Thanks for warning me." to Vinny Garland (Quartermaster) (123,147,2)
[2018-07-13 23:10:27.818] PDA: Unoriginal.exe/(Vinny Garland) (PDA: quartermaster PDA) sent "No prob" to Helps-The-Station (Captain) (84,130,2)
[2018-07-13 23:16:44.942] PDA: Unoriginal.exe/(Vinny Garland) (PDA: quartermaster PDA) sent "Hey cap, can I get your spare for a cargo bounty? Just gonna sell it, not use it" to Helps-The-Station (Captain) (88,117,2)
[2018-07-13 23:16:52.955] PDA: GreenTea98/(Helps-The-Station) (PDA: captain PDA) sent "Sure, just am oment" to Vinny Garland (Quartermaster) (133,109,2)
[2018-07-13 23:16:57.892] PDA: Unoriginal.exe/(Vinny Garland) (PDA: quartermaster PDA) sent "Thanks" to Helps-The-Station (Captain) (88,117,2)
[2018-07-13 23:39:18.888] PDA: Unoriginal.exe/(Vinny Garland) (PDA: quartermaster PDA) sent "Cap, I need some food in the brig, I&#39;&#39;m hungry" to Helps-The-Station (Captain) (113,173,2)
[2018-07-13 23:39:31.073] PDA: GreenTea98/(Helps-The-Station) (PDA: captain PDA) sent "Why are you in the brig?" to Vinny Garland (Quartermaster) (157,86,2)
[2018-07-13 23:39:43.485] PDA: Unoriginal.exe/(Vinny Garland) (PDA: quartermaster PDA) sent "Monitoring the sensors and defending it" to Helps-The-Station (Captain) (113,173,2)
[2018-07-13 23:39:52.718] PDA: GreenTea98/(Helps-The-Station) (PDA: captain PDA) sent "Oyeah, I forgot that was you, I&#39;ll bring you some" to Vinny Garland (Quartermaster) (126,112,2)
