[2018-07-14 20:18:14.531] Starting up round ID 1553.
[2018-07-14 20:18:14.531] -------------------------
[2018-07-14 20:41:11.031] PDA: BuckyBoy/(Beau Richards) (PDA: cook PDA) sent "can i get some some monkey cubes?" to Alec Costello (Geneticist) (132,121,2)
[2018-07-14 20:44:01.202] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "do you know the contraband virus?" to Taqi Al-Rafiq (Roboticist) (92,144,2)
[2018-07-14 20:44:06.797] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "wire not virus" to Taqi Al-Rafiq (Roboticist) (92,144,2)
[2018-07-14 20:44:07.108] PDA: ManNardo/(Taqi Al-Rafiq) (PDA: roboticist PDA) sent "no?" to Soulja Boy (Clown) (134,128,2)
[2018-07-14 20:44:22.975] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "have fun with some honks" to Taqi Al-Rafiq (Roboticist) (92,144,2)
[2018-07-14 20:44:30.252] PDA: ManNardo/(Taqi Al-Rafiq) (PDA: roboticist PDA) sent "what" to Soulja Boy (Clown) (125,114,2)
[2018-07-14 20:44:34.803] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "i sent you a mgic honk honk file" to Taqi Al-Rafiq (Roboticist) (92,144,2)
[2018-07-14 20:44:42.765] PDA: ManNardo/(Taqi Al-Rafiq) (PDA: roboticist PDA) sent "what" to Soulja Boy (Clown) (114,114,2)
[2018-07-14 20:44:57.453] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "i sent you a virus nerd" to Taqi Al-Rafiq (Roboticist) (87,148,2)
[2018-07-14 20:45:08.302] PDA: ManNardo/(Taqi Al-Rafiq) (PDA: roboticist PDA) sent "I&#39;m not ill?" to Soulja Boy (Clown) (108,113,2)
[2018-07-14 20:45:14.539] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "pda virus" to Taqi Al-Rafiq (Roboticist) (107,143,2)
[2018-07-14 20:45:32.090] PDA: ManNardo/(Taqi Al-Rafiq) (PDA: roboticist PDA) sent "you idiot, PDA&#39;s can&#39;t get viral diseases" to Soulja Boy (Clown) (80,125,2)
[2018-07-14 20:56:50.859] PDA: HaggisShuu/(Soulja Boy) (PDA: clown PDA) sent "nerd i outside science, make me thta mf borg" to Taqi Al-Rafiq (Roboticist) (117,107,2)
