[2018-07-17 18:37:55.441] Starting up round ID 1605.
[2018-07-17 18:37:55.441] -------------------------
[2018-07-17 19:31:35.442] PDA: Arkadiusz123/(McNinja) (PDA: �PDA) sent "captain can you put me in mulebot?
[2018-07-17 19:31:35.442] Sent from my PDA" to Katelyn Marcotte (Captain) (97,121,2)
[2018-07-17 19:32:23.715] PDA: Bilary/(Katelyn Marcotte) (PDA: captain PDA) sent "sure where are you" to McNinja (pAI Messenger) (105,83,2)
[2018-07-17 19:32:28.069] PDA: Arkadiusz123/(McNinja) (PDA: �PDA) sent "cargo" to Katelyn Marcotte (Captain) (93,118,2)
[2018-07-17 19:35:23.626] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Listen, I dont know why they are so assy, you wanna meet with me in provate and we can talk about what the detective did? I&#39;m likely to demote them" to Beau Richards (Detective) (113,173,2)
[2018-07-17 19:42:53.531] PDA: BuckyBoy/(Beau Richards) (PDA: detective PDA) sent "Who was this meant for?" to Wack 'Assmoss' Grandpap (Head of Security) (128,115,2)
[2018-07-17 19:43:03.932] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Wait.. did I send the message to you?" to Beau Richards (Detective) (118,170,2)
[2018-07-17 19:43:09.233] PDA: BuckyBoy/(Beau Richards) (PDA: detective PDA) sent "You did." to Wack 'Assmoss' Grandpap (Head of Security) (128,111,2)
[2018-07-17 19:43:12.952] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Oh my bad, it was a bait for cass" to Beau Richards (Detective) (118,170,2)
[2018-07-17 19:43:19.741] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Your not getting demoted :)" to Beau Richards (Detective) (118,170,2)
[2018-07-17 19:43:20.071] PDA: BuckyBoy/(Beau Richards) (PDA: detective PDA) sent "right" to Wack 'Assmoss' Grandpap (Head of Security) (128,111,2)
[2018-07-17 19:43:26.178] PDA: BuckyBoy/(Beau Richards) (PDA: detective PDA) sent "i thought it was that bitch robotocist" to Wack 'Assmoss' Grandpap (Head of Security) (128,111,2)
[2018-07-17 19:43:28.130] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Ill try NOT to butter finger this time" to Beau Richards (Detective) (118,170,2)
[2018-07-17 19:43:30.667] PDA: BuckyBoy/(Beau Richards) (PDA: detective PDA) sent "I called him a n e r d" to Wack 'Assmoss' Grandpap (Head of Security) (128,111,2)
[2018-07-17 19:43:52.819] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Listen, I dont know why they are so assy, you wanna meet with me in provate and we can talk about what the detective did? I&#39;m likely to demote them" to Casimir Cressman (Quartermaster) (121,174,2)
[2018-07-17 19:44:15.029] PDA: BigPenorBoi/(Casimir Cressman) (PDA: quartermaster PDA) sent "I do not trust you by this point, no way you would discuss a demotion with a quartermaster" to Wack 'Assmoss' Grandpap (Head of Security) (109,181,2)
[2018-07-17 19:44:42.068] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "I&#39;m not disccussing that, I need you to make a statement that he destroyed your windows, and not some random tide" to Casimir Cressman (Quartermaster) (127,183,2)
[2018-07-17 19:44:56.893] PDA: BigPenorBoi/(Casimir Cressman) (PDA: quartermaster PDA) sent "Well here is your statement in writing" to Wack 'Assmoss' Grandpap (Head of Security) (89,153,2)
[2018-07-17 19:45:06.276] PDA: Arrfur/(Wack 'Assmoss' Grandpap) (PDA: head of security PDA) sent "Cool thanks" to Casimir Cressman (Quartermaster) (127,183,2)
