[2018-08-01 19:51:44.081] Starting up round ID 1822.
[2018-08-01 19:51:44.081] -------------------------
[2018-08-01 19:56:41.995] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "this will be easy" to Simon Fenix (Medical Doctor) (103,116,2)
[2018-08-01 19:56:45.833] PDA: Smarrazzo/(Simon Fenix) (PDA: medical PDA) sent "yo" to Beau Richards (Head of Personnel) (140,113,2)
[2018-08-01 19:56:48.993] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "I got the armor you get the boy" to Simon Fenix (Medical Doctor) (103,116,2)
[2018-08-01 19:57:00.134] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "Tell me hes got a disease that needs surgery then put him to sleep" to Simon Fenix (Medical Doctor) (103,116,2)
[2018-08-01 19:57:03.649] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "and amputate his head" to Simon Fenix (Medical Doctor) (103,116,2)
[2018-08-01 19:57:16.671] PDA: Smarrazzo/(Simon Fenix) (PDA: medical PDA) sent "ill figure it out" to Beau Richards (Head of Personnel) (138,119,2)
[2018-08-01 19:57:28.979] PDA: Smarrazzo/(Simon Fenix) (PDA: medical PDA) sent "and remmber AI can read our conversation" to Beau Richards (Head of Personnel) (138,119,2)
[2018-08-01 19:57:38.573] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "neato
[2018-08-01 19:57:38.573] Sent from my PDA" to Simon Fenix (Medical Doctor) (103,115,2)
[2018-08-01 20:11:03.379] PDA: BoxxyBooty/(Honks-The-Crew) (PDA: clown PDA) sent "YO HOS, BEAU IS A TRAITOR, LOCKED ME UP AND TRIED TO FRAME ME FOR HAVING A EMAG. SEARCH HIM AND GET IT. Also check prints on it" to Beau Richards (Head of Personnel) (116,164,2)
[2018-08-01 20:11:10.219] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "Mhm" to Honks-The-Crew (Clown) (115,134,2)
[2018-08-01 20:11:10.998] PDA: BoxxyBooty/(Honks-The-Crew) (PDA: clown PDA) sent "YO HOS, BEAU IS A TRAITOR, LOCKED ME UP AND TRIED TO FRAME ME FOR HAVING A EMAG. SEARCH HIM AND GET IT. Also check prints on it" to Varna Sandys (Head of Security) (116,164,2)
[2018-08-01 20:11:18.030] PDA: BuckyBoy/(Beau Richards) (PDA: head of personnel PDA) sent "Hey wrong person ye jackass" to Honks-The-Crew (Clown) (115,134,2)
[2018-08-01 20:11:20.015] PDA: Ceanox/(Varna Sandys) (PDA: head of security PDA) sent "Will do" to Honks-The-Crew (Clown) (119,169,2)
[2018-08-01 20:11:27.259] PDA: BoxxyBooty/(Honks-The-Crew) (PDA: clown PDA) sent "I know. sent it to all heads you gay" to Beau Richards (Head of Personnel) (116,164,2)
[2018-08-01 20:11:30.260] PDA: BoxxyBooty/(Honks-The-Crew) (PDA: clown PDA) sent "lmao" to Beau Richards (Head of Personnel) (116,164,2)
[2018-08-01 20:15:54.254] PDA: Ceanox/(Varna Sandys) (PDA: head of security PDA) sent "He ain&#39;t got shit, know where he might of stashed it?" to Honks-The-Crew (Clown) (103,116,2)
[2018-08-01 20:16:06.415] PDA: BoxxyBooty/(Honks-The-Crew) (PDA: clown PDA) sent "No clue, maybe his locker or just threw it" to Varna Sandys (Head of Security) (140,109,2)
[2018-08-01 20:38:06.965] PDA: ManNardo/(Taqi Al-Rafiq) (PDA: quartermaster PDA) sent "you alive?" to Aleksey Karansinov (Shaft Miner) (88,105,2)
