[2018-08-18 15:41:56.781] Starting up round ID 1985.
[2018-08-18 15:41:56.781] -------------------------
[2018-08-18 15:46:51.764] ATTACK: Wicker0/(Harlow Moriarty) has thrown the box (Mining Dock (89, 107, 2))
[2018-08-18 15:47:16.507] ATTACK: Wicker0/(Harlow Moriarty) has thrown the marker beacon (Mining Dock (88, 105, 2))
[2018-08-18 15:47:16.544] ATTACK: Wicker0/(Harlow Moriarty) has threw and hit AzlanonPc/(Jetra Norlan) with [marker beacon] (NEWHP: 100)  (Mining Dock (88, 105, 2))
[2018-08-18 15:47:51.555] ATTACK: BoxxyBooty/(Bumps) has implanted BoxxyBooty/(Bumps) with a freedom implant[DC] (NEWHP: 100)  (Chief Engineer's Office (119, 79, 2))
[2018-08-18 15:48:21.391] ATTACK: Bobcat49/(Rose White) has thrown the health analyzer (Virology (156, 96, 2))
[2018-08-18 15:49:56.099] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 180)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:49:57.020] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 160)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:49:57.532] ATTACK: *no key*/(watcher) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 100)  (Lavaland Wastes (119, 49, 5))
[2018-08-18 15:49:57.825] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 140)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:49:58.773] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 120)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:49:59.528] ATTACK: *no key*/(watcher) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 92.125)  (Lavaland Wastes (119, 49, 5))
[2018-08-18 15:49:59.633] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:50:00.550] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 80)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:50:01.534] ATTACK: *no key*/(watcher) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 84.25)  (Lavaland Wastes (119, 49, 5))
[2018-08-18 15:50:01.825] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:50:02.950] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(watcher) with [destabilizing force] (NEWHP: 60)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:50:03.481] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40)  (Lavaland Wastes (118, 48, 5))
[2018-08-18 15:50:39.249] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 300)  (Lavaland Wastes (131, 49, 5))
[2018-08-18 15:50:43.100] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 280)  (Lavaland Wastes (131, 49, 5))
[2018-08-18 15:50:45.503] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 200)  (Lavaland Wastes (133, 52, 5))
[2018-08-18 15:50:46.435] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 180)  (Lavaland Wastes (133, 50, 5))
[2018-08-18 15:50:47.558] ATTACK: *no key*/(goliath) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 73.75)  (Lavaland Wastes (132, 50, 5))
[2018-08-18 15:50:48.117] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 130)  (Lavaland Wastes (131, 51, 5))
[2018-08-18 15:50:48.668] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 110)  (Lavaland Wastes (131, 50, 5))
[2018-08-18 15:50:52.707] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 60)  (Lavaland Wastes (134, 46, 5))
[2018-08-18 15:50:53.555] ATTACK: *no key*/(goliath) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 60.625)  (Lavaland Wastes (133, 49, 5))
[2018-08-18 15:50:53.735] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40)  (Lavaland Wastes (134, 48, 5))
[2018-08-18 15:51:28.377] ATTACK: Wicker0/(Harlow Moriarty) has thrown the goliath meat (Lavaland Wastes (133, 47, 5))
[2018-08-18 15:51:37.218] ATTACK: Wicker0/(Harlow Moriarty) has attempted to inject Wicker0/(Harlow Moriarty) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Nanites and Omnizine) (NEWHP: 43.125)  (Lavaland Wastes (136, 45, 5))
[2018-08-18 15:51:37.219] ATTACK: Wicker0/(Harlow Moriarty) has injected Wicker0/(Harlow Moriarty) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Nanites and Omnizine) (NEWHP: 43.125)  (Lavaland Wastes (136, 45, 5))
[2018-08-18 15:51:38.000] ATTACK: Wicker0/(Harlow Moriarty) has thrown the survival medipen (Lavaland Wastes (136, 45, 5))
[2018-08-18 15:52:04.601] ATTACK: ChippedIce/(Hana Robusto) has flashed(targeted) Pandolphina/(Does-The-Gimmick) with [flash] (NEWHP: 100)  (Research Division (180, 126, 2))
[2018-08-18 15:52:11.859] ATTACK: *no key*/(watcher) has fired at Wicker0/(Harlow Moriarty) with [freezing blast] from Lavaland Wastes (NEWHP: 83)  (Lavaland Wastes (133, 63, 5))
[2018-08-18 15:52:11.860] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(watcher) with [destabilizing force] (NEWHP: 200)  (Lavaland Wastes (133, 61, 5))
[2018-08-18 15:52:11.955] ATTACK: *no key*/(watcher) has shot Wicker0/(Harlow Moriarty) with [freezing blast] (NEWHP: 83)  (Lavaland Wastes (133, 63, 5))
[2018-08-18 15:52:12.423] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 180)  (Lavaland Wastes (133, 62, 5))
[2018-08-18 15:52:12.676] ATTACK: *no key*/(watcher) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 83)  (Lavaland Wastes (133, 63, 5))
[2018-08-18 15:52:13.739] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(watcher) with [destabilizing force] (NEWHP: 130)  (Lavaland Wastes (133, 62, 5))
[2018-08-18 15:52:14.626] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 110)  (Lavaland Wastes (133, 62, 5))
[2018-08-18 15:52:14.678] ATTACK: *no key*/(watcher) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 75.875)  (Lavaland Wastes (133, 63, 5))
[2018-08-18 15:52:15.529] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40)  (Lavaland Wastes (133, 62, 5))
[2018-08-18 15:52:16.423] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(watcher) with [destabilizing force] (NEWHP: 40)  (Lavaland Wastes (133, 62, 5))
[2018-08-18 15:52:16.676] ATTACK: *no key*/(watcher) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 71.75)  (Lavaland Wastes (133, 63, 5))
[2018-08-18 15:52:17.111] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 20)  (Lavaland Wastes (133, 62, 5))
[2018-08-18 15:52:18.092] ATTACK: Pandolphina/(Does-The-Gimmick) has shaked ChippedIce/(Hana Robusto) (NEWHP: 100)  (Research Division (180, 124, 2))
[2018-08-18 15:52:20.005] ATTACK: BoxxyBooty/(Bumps) has climbed onto [wooden table] (Captain's Office (122, 125, 2))
[2018-08-18 15:52:20.539] ATTACK: ChippedIce/(Hana Robusto) has shaked Pandolphina/(Does-The-Gimmick) (NEWHP: 100)  (Research Division (180, 123, 2))
[2018-08-18 15:52:23.697] ATTACK: ChippedIce/(Hana Robusto) has thrown the flash (Robotics Lab (176, 120, 2))
[2018-08-18 15:52:45.718] ATTACK: Wicker0/(Harlow Moriarty) has attacked [pylon] with [proto-kinetic crusher (Wielded)] (Unexplored Location (145, 42, 5))
[2018-08-18 15:52:53.282] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 160)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:54.464] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 145)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:55.053] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 100)  (Lavaland Wastes (143, 37, 5))
[2018-08-18 15:52:55.449] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 130)  (Lavaland Wastes (142, 38, 5))
[2018-08-18 15:52:56.252] ATTACK: Stoica00/(Dmitry Alexander) has thrown the hazard vest (Auxiliary Tool Storage (92, 136, 2))
[2018-08-18 15:52:56.256] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 115)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:57.057] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 88.75)  (Lavaland Wastes (143, 37, 5))
[2018-08-18 15:52:57.675] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 75)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:58.887] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (142, 38, 5))
[2018-08-18 15:52:59.020] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40)  (Lavaland Wastes (144, 38, 5))
[2018-08-18 15:52:59.058] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 77.5)  (Lavaland Wastes (143, 37, 5))
