[2018-08-19 16:01:34.135] Starting up round ID 2002.
[2018-08-19 16:01:34.136] -------------------------
[2018-08-19 16:06:20.964] ATTACK: *no key*/(ash drake) has attacked *no key*/(Clown) (NEWHP: 75)  (Lavaland Wastes (218, 159, 5))
[2018-08-19 16:06:22.970] ATTACK: *no key*/(ash drake) has attacked *no key*/(Clown) (NEWHP: 15)  (Lavaland Wastes (218, 159, 5))
[2018-08-19 16:06:23.404] ATTACK: Bilary/(Lara Black) has thrown the book bag (Library (176, 137, 2))
[2018-08-19 16:06:40.323] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the hard-worn suit (Detective's Office (99, 157, 2))
[2018-08-19 16:06:41.795] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the trenchcoat (Detective's Office (99, 157, 2))
[2018-08-19 16:06:43.414] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the detective's fedora (Detective's Office (99, 157, 2))
[2018-08-19 16:06:44.461] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the brown shoes (Detective's Office (99, 157, 2))
[2018-08-19 16:06:47.902] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the black gloves (Detective's Office (99, 157, 2))
[2018-08-19 16:07:00.422] ATTACK: *no key*/(ash drake) has attacked *no key*/(Clown) (NEWHP: 75)  (Lavaland Labor Camp (218, 158, 5))
[2018-08-19 16:07:02.506] ATTACK: *no key*/(ash drake) has attacked *no key*/(Clown) (NEWHP: 35)  (Lavaland Labor Camp (218, 158, 5))
[2018-08-19 16:07:06.941] ATTACK: BoxxyBooty/(Bumps) has thrown the black gloves (Chief Engineer's Office (119, 82, 2))
[2018-08-19 16:07:09.644] ATTACK: *no key*/(ash drake) has attacked *no key*/(Checkers) (NEWHP: 69.95)  (Lavaland Labor Camp (216, 158, 5))
[2018-08-19 16:07:24.004] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the �Zippo lighter (Detective's Office (100, 157, 2))
[2018-08-19 16:07:36.107] ATTACK: *no key*/(ash drake) has attacked *no key*/(Honkerbelle) (NEWHP: -27.9)  (Lavaland Wastes (201, 163, 5))
[2018-08-19 16:07:49.573] ATTACK: Kelesis/(Sam The Man) has thrown the cyborg endoskeleton (Robotics Lab (176, 121, 2))
[2018-08-19 16:07:57.008] ATTACK: *no key*/(ash drake) has attacked *no key*/(Dinky Doodle) (NEWHP: -96.675)  (Lavaland Labor Camp (216, 158, 5))
[2018-08-19 16:08:01.054] ATTACK: *no key*/(ash drake) has attacked *no key*/(Mr Shoe) (NEWHP: -179.25)  (Unexplored Location (217, 158, 5))
[2018-08-19 16:08:35.731] ATTACK: *no key*/(ash drake) has attacked *no key*/(Ronnie Pace) (NEWHP: -458.775)  (Unexplored Location (217, 158, 5))
[2018-08-19 16:09:05.294] ATTACK: Kelesis/(Sam The Man) has thrown the cyborg head (Robotics Lab (176, 121, 2))
[2018-08-19 16:09:50.131] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the labcoat (Research Director's Office (186, 112, 2))
[2018-08-19 16:09:52.221] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the research director's vest suit (Research Director's Office (186, 112, 2))
[2018-08-19 16:09:58.973] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the science medal box (Research Director's Office (185, 112, 2))
[2018-08-19 16:10:00.252] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the photo album (Research Director's Office (185, 112, 2))
[2018-08-19 16:10:00.972] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the �Departmental Techfab (Machine Board) - Science (Research Director's Office (185, 112, 2))
[2018-08-19 16:10:01.995] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the laser pointer (Research Director's Office (185, 112, 2))
[2018-08-19 16:10:49.382] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Summon infernal contract.</span> (Security Office (120, 174, 2))
[2018-08-19 16:10:57.486] ATTACK: redaxolotl/(Tiffany Margaret) has fired at [floor] with [10mm bullet] from Syndicate Lavaland Cargo Bay (Syndicate Lavaland Cargo Bay (90, 102, 5))
[2018-08-19 16:11:36.830] ATTACK: AzlanonPc/(Tal-Akish) has thrown the box (Brig Control (112, 174, 2))
[2018-08-19 16:11:40.250] ATTACK: AzlanonPc/(Tal-Akish) has thrown the box (Brig Control (112, 175, 2))
[2018-08-19 16:11:49.820] ATTACK: redaxolotl/(Tiffany Margaret) has fired at [wall] with [10mm bullet] from Syndicate Lavaland Medbay (Syndicate Lavaland Medbay (84, 86, 5))
[2018-08-19 16:12:11.935] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Summon infernal contract.</span> (Detective's Office (100, 160, 2))
[2018-08-19 16:12:32.299] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Detective's Office (100, 158, 2))
[2018-08-19 16:12:38.411] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Detective's Office (100, 158, 2))
[2018-08-19 16:12:44.238] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Detective's Office (100, 158, 2))
[2018-08-19 16:12:49.767] ATTACK: ChippedIce/(Hana Robusto) has climbed onto [wooden table] (Library (176, 135, 2))
[2018-08-19 16:12:56.746] ATTACK: ChippedIce/(Hana Robusto) has climbed onto [wooden table] (Library (176, 135, 2))
[2018-08-19 16:13:02.242] ATTACK: CoolCatIsFeelingGroovy/(Moff) has attacked [�Toxins Mixing Lab vent pump #3] with [Rapid Piping Device (RPD)] (Toxins Mixing Lab (187, 102, 2))
[2018-08-19 16:13:04.457] ATTACK: ChippedIce/(Hana Robusto) has shaked Bilary/(Lara Black) (NEWHP: 100)  (Library (174, 135, 2))
[2018-08-19 16:13:08.033] ATTACK: CoolCatIsFeelingGroovy/(Moff) has attacked [mounted igniter] with [Rapid Piping Device (RPD)] (Toxins Mixing Lab (187, 102, 2))
[2018-08-19 16:13:09.291] ATTACK: Bilary/(Lara Black) has thrown the display case key (Library (176, 137, 2))
[2018-08-19 16:13:31.736] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Brig (112, 171, 2))
[2018-08-19 16:13:39.991] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Brig (112, 171, 2))
[2018-08-19 16:14:13.494] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the connector port fitting (Testing Lab (186, 98, 2))
[2018-08-19 16:14:29.289] ATTACK: CoolCatIsFeelingGroovy/(Moff) has attacked [heater] with [wirecutters] (Testing Lab (187, 98, 2))
[2018-08-19 16:14:30.293] ATTACK: Bilary/(Lara Black) has thrown Book: The Lusty Alien (Library (168, 137, 2))
[2018-08-19 16:14:35.566] ATTACK: CoolCatIsFeelingGroovy/(Moff) has attacked [freezer] with [wrench] (Testing Lab (187, 98, 2))
[2018-08-19 16:14:54.301] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Chapel (187, 139, 2))
[2018-08-19 16:15:11.269] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Summon infernal contract.</span> (Library (175, 134, 2))
[2018-08-19 16:16:08.064] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Library (172, 136, 2))
[2018-08-19 16:17:26.135] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Summon infernal contract.</span> (Starboard Primary Hallway (176, 127, 2))
[2018-08-19 16:17:26.955] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Library (173, 136, 2))
[2018-08-19 16:18:17.796] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown Rapid Piping Device (RPD) (Testing Lab (187, 97, 2))
[2018-08-19 16:18:42.482] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the manual valve fitting (Toxins Mixing Lab (192, 104, 2))
[2018-08-19 16:18:50.659] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pipe manifold fitting (Toxins Mixing Lab (192, 102, 2))
[2018-08-19 16:19:04.197] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pipe fitting (Toxins Mixing Lab (192, 103, 2))
[2018-08-19 16:19:04.463] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:04.522] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:05.337] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:05.384] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:05.677] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pipe manifold fitting (Toxins Mixing Lab (192, 103, 2))
[2018-08-19 16:19:06.192] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
