[2018-08-20 15:19:22.356] Starting up round ID 2019.
[2018-08-20 15:19:22.356] -------------------------
[2018-08-20 15:25:06.051] ATTACK: Bilary/(Lara Black) has thrown the hard hat (Arrival Shuttle (45, 142, 2))
[2018-08-20 15:25:15.447] ATTACK: Bilary/(Lara Black) has thrown the �T-ray scanner (Central Primary Hallway (98, 130, 2))
[2018-08-20 15:27:14.294] ATTACK: Enkidienne/(Nerissa Ratcliff) has electrified [Cargo Office] (Cargo Office (91, 118, 2))
[2018-08-20 15:27:14.299] ATTACK: [Cargo Office] has electrocuted Enkidienne/(Nerissa Ratcliff) (NEWHP: 83.35)  (Cargo Office (90, 118, 2))
[2018-08-20 15:27:28.886] ATTACK: [Cargo Office] has electrocuted Enkidienne/(Nerissa Ratcliff) (NEWHP: 67.5)  (Cargo Office (90, 118, 2))
[2018-08-20 15:28:02.671] ATTACK: Red Axolotl/(Breaks-The-Bad) has thrown the tank transfer valve (Toxins Mixing Lab (189, 107, 2))
[2018-08-20 15:28:09.796] ATTACK: Bilary/(Lara Black) has thrown the tablet computer (Engineering (109, 79, 2))
[2018-08-20 15:29:14.524] ATTACK: wicker0/(Harlow Moriarty) triggered a fueltank explosion via welding tool. (Snowdin Outpost - Engineering (61, 213, 13))
[2018-08-20 15:29:14.686] ATTACK: wicker0/(Harlow Moriarty) has electrified [maintenance access] (Snowdin Outpost - Engineering (61, 213, 13))
[2018-08-20 15:30:06.010] ATTACK: Red Axolotl/(Breaks-The-Bad) learned the martial art sleeping carp (The Sleeping Carp) (Toxins Mixing Lab (193, 106, 2))
[2018-08-20 15:30:07.408] ATTACK: Bilary/(Lara Black) has thrown the industrial welding tool (Engineering (124, 72, 2))
[2018-08-20 15:30:15.060] ATTACK: Bilary/(Lara Black) has thrown the radiation suit (Engineering (122, 77, 2))
[2018-08-20 15:30:16.907] ATTACK: Red Axolotl/(Breaks-The-Bad) has thrown the empty scroll (Starboard Quarter Maintenance (195, 101, 2))
[2018-08-20 15:30:17.127] ATTACK: Bilary/(Lara Black) has thrown the �Geiger counter (Engineering (122, 77, 2))
[2018-08-20 15:30:18.212] ATTACK: Bilary/(Lara Black) has thrown the radiation suit (Engineering (122, 77, 2))
[2018-08-20 15:30:19.626] ATTACK: Bilary/(Lara Black) has thrown the radiation hood (Engineering (122, 77, 2))
[2018-08-20 15:32:11.268] ATTACK: wicker0/(Harlow Moriarty) has attacked [reinforced window] with [survival knife] (Central Primary Hallway (105, 140, 2))
[2018-08-20 15:32:24.378] ATTACK: wicker0/(Harlow Moriarty) has attacked [reinforced window] with [survival knife] (Central Primary Hallway (111, 140, 2))
[2018-08-20 15:32:32.593] ATTACK: wicker0/(Harlow Moriarty) has attacked Enkidienne/(Nerissa Ratcliff) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 52.5)  (Central Primary Hallway (111, 141, 2))
[2018-08-20 15:32:33.204] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed wicker0/(Harlow Moriarty) with  removing the survival knife[DC] (NEWHP: 100)  (Central Primary Hallway (110, 141, 2))
[2018-08-20 15:32:33.505] ATTACK: wicker0/(Harlow Moriarty) has punched Enkidienne/(Nerissa Ratcliff) (NEWHP: 49.5)  (Central Primary Hallway (111, 141, 2))
[2018-08-20 15:32:35.185] ATTACK: wicker0/(Harlow Moriarty) has punched Red Axolotl/(Breaks-The-Bad) (NEWHP: 93)  (Central Primary Hallway (110, 141, 2))
[2018-08-20 15:32:40.684] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed wicker0/(Harlow Moriarty) (NEWHP: 96.25)  (Central Primary Hallway (107, 141, 2))
[2018-08-20 15:32:53.190] ATTACK: Red Axolotl/(Breaks-The-Bad) has slams (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 86.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:32:56.124] ATTACK: Red Axolotl/(Breaks-The-Bad) has back-kicked (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 86.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:32:56.126] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched wicker0/(Harlow Moriarty) (NEWHP: 78.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:32:58.523] ATTACK: Red Axolotl/(Breaks-The-Bad) has kicks (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 68.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:32:59.365] ATTACK: Red Axolotl/(Breaks-The-Bad) has punches (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 56.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:00.261] ATTACK: Red Axolotl/(Breaks-The-Bad) has chops (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 43.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:01.070] ATTACK: Red Axolotl/(Breaks-The-Bad) has punches (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 29.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:01.884] ATTACK: Red Axolotl/(Breaks-The-Bad) has kicks (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 21)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:02.610] ATTACK: wicker0/(Harlow Moriarty) has punched Red Axolotl/(Breaks-The-Bad) (NEWHP: 90)  (Central Primary Hallway (108, 142, 2))
[2018-08-20 15:33:02.817] ATTACK: Red Axolotl/(Breaks-The-Bad) has hits (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 9)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:04.262] ATTACK: Enkidienne/(Nerissa Ratcliff) has punched wicker0/(Harlow Moriarty) (NEWHP: 4)  (Central Primary Hallway (109, 141, 2))
[2018-08-20 15:33:04.840] ATTACK: Red Axolotl/(Breaks-The-Bad) has back-kicked (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: 4)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:04.844] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched wicker0/(Harlow Moriarty) (NEWHP: 0.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:05.170] ATTACK: Enkidienne/(Nerissa Ratcliff) has punched wicker0/(Harlow Moriarty) (NEWHP: -1.25)  (Central Primary Hallway (109, 141, 2))
[2018-08-20 15:33:06.424] ATTACK: Red Axolotl/(Breaks-The-Bad) has slams (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -15.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:07.268] ATTACK: Red Axolotl/(Breaks-The-Bad) has hits (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -28.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:08.219] ATTACK: Red Axolotl/(Breaks-The-Bad) has hits (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -39.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:11.071] ATTACK: Red Axolotl/(Breaks-The-Bad) has chops (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -51.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:12.449] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed wicker0/(Harlow Moriarty) (NEWHP: -51.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:13.281] ATTACK: Red Axolotl/(Breaks-The-Bad) has wrist wrenched (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -51.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:13.283] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched wicker0/(Harlow Moriarty) (NEWHP: -57.25)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:15.747] ATTACK: Enkidienne/(Nerissa Ratcliff) has punched wicker0/(Harlow Moriarty) (NEWHP: -58.75)  (Central Primary Hallway (109, 141, 2))
[2018-08-20 15:33:16.915] ATTACK: Red Axolotl/(Breaks-The-Bad) has kicks (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -69.4167)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:18.570] ATTACK: Enkidienne/(Nerissa Ratcliff) has punched wicker0/(Harlow Moriarty) (NEWHP: -76.0833)  (Central Primary Hallway (109, 141, 2))
[2018-08-20 15:33:19.795] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm wicker0/(Harlow Moriarty) (NEWHP: -76.0833)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:21.605] ATTACK: Red Axolotl/(Breaks-The-Bad) has hits (Sleeping Carp) wicker0/(Harlow Moriarty) (NEWHP: -88.75)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:22.822] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed wicker0/(Harlow Moriarty) (NEWHP: -89.4167)  (Central Primary Hallway (107, 142, 2))
[2018-08-20 15:33:30.824] ATTACK: Enkidienne/(Nerissa Ratcliff) has stripped the leather satchel off *no key*/(Harlow Moriarty) (NEWHP: -140.083)  (Central Primary Hallway (109, 141, 2))
[2018-08-20 15:33:55.595] ATTACK: Red Axolotl/(Breaks-The-Bad) has stripped the explorer's webbing off *no key*/(Harlow Moriarty) (NEWHP: -140.083)  (Central Primary Hallway (107, 141, 2))
[2018-08-20 15:33:55.995] ATTACK: Red Axolotl/(Breaks-The-Bad) has stripped PDA-Harlow Moriarty (Shaft Miner) off *no key*/(Harlow Moriarty) (NEWHP: -140.083)  (Central Primary Hallway (107, 141, 2))
[2018-08-20 15:34:56.489] ATTACK: pandolphina/(Hugo Dickinson) has grabbed (Krav Maga) *no key*/(Harlow Moriarty) (NEWHP: -140.083)  (Central Primary Hallway (107, 141, 2))
[2018-08-20 15:34:56.490] ATTACK: pandolphina/(Hugo Dickinson) has grabbed *no key*/(Harlow Moriarty) passive grab (NEWHP: -140.083)  (Central Primary Hallway (107, 141, 2))
[2018-08-20 15:35:24.734] ATTACK: Enkidienne/(Nerissa Ratcliff) has attempted to inject Enkidienne/(Nerissa Ratcliff) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Nanites and Omnizine) (NEWHP: 49.5)  (Central Primary Hallway (112, 142, 2))
[2018-08-20 15:35:24.735] ATTACK: Enkidienne/(Nerissa Ratcliff) has injected Enkidienne/(Nerissa Ratcliff) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Nanites and Omnizine) (NEWHP: 49.5)  (Central Primary Hallway (112, 142, 2))
[2018-08-20 15:35:26.331] ATTACK: Enkidienne/(Nerissa Ratcliff) has thrown the survival medipen (Central Primary Hallway (112, 142, 2))
[2018-08-20 15:36:02.109] ATTACK: Enkidienne/(Nerissa Ratcliff) has attacked Enkidienne/(Nerissa Ratcliff) with frosted donut[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 73.5)  (Starboard Primary Hallway (148, 131, 2))
[2018-08-20 15:36:03.183] ATTACK: Enkidienne/(Nerissa Ratcliff) has attacked Enkidienne/(Nerissa Ratcliff) with frosted donut[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 72)  (Starboard Primary Hallway (148, 131, 2))
[2018-08-20 15:36:33.639] ATTACK: Red Axolotl/(Breaks-The-Bad) has climbed onto [reinforced table] (Bar (143, 134, 2))
[2018-08-20 15:36:43.789] ATTACK: Red Axolotl/(Breaks-The-Bad) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-08-20 15:36:54.549] ATTACK: Smarrazzo/(Simon Fenix) has thrown the �Departmental Techfab - Service (Machine Board) (Head of Personnel's Office (103, 115, 2))
[2018-08-20 15:37:14.688] ATTACK: Bilary/(Lara Black) has attacked *no key*/(mouse) with cable piece[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 5)  (Starboard Bow Solar Maintenance (161, 160, 2))
[2018-08-20 15:37:15.596] ATTACK: Bilary/(Lara Black) has attacked *no key*/(mouse) (NEWHP: 2)  (Starboard Bow Solar Maintenance (161, 160, 2))
[2018-08-20 15:37:16.582] ATTACK: Bilary/(Lara Black) has attacked *no key*/(mouse) (NEWHP: 0)  (Starboard Bow Solar Maintenance (161, 160, 2))
[2018-08-20 15:37:38.220] ATTACK: Bilary/(Lara Black) has attacked [Solar Maintenance] with [multitool] (Starboard Bow Solar Maintenance (161, 165, 2))
[2018-08-20 15:38:20.831] ATTACK: Enkidienne/(Nerissa Ratcliff) has thrown the white shoes (Central Primary Hallway (129, 135, 2))
[2018-08-20 15:38:25.268] ATTACK: Smarrazzo/(Simon Fenix) has thrown the box (Head of Personnel's Office (103, 115, 2))
[2018-08-20 15:38:26.735] ATTACK: Smarrazzo/(Simon Fenix) has thrown the box of spare IDs (Head of Personnel's Office (103, 115, 2))
[2018-08-20 15:38:28.146] ATTACK: Smarrazzo/(Simon Fenix) has thrown the disabler revolver (Head of Personnel's Office (103, 115, 2))
[2018-08-20 15:38:58.132] ATTACK: Smarrazzo/(Simon Fenix) has thrown the tablet computer (Head of Personnel's Office (103, 115, 2))
[2018-08-20 15:40:08.121] ATTACK: Enkidienne/(Nerissa Ratcliff) has thrown the wrench (Xenobiology Lab (170, 103, 2))
[2018-08-20 15:40:18.083] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked [reinforced girder] with [wrench] (Aft Primary Hallway (115, 85, 2))
[2018-08-20 15:40:35.190] ATTACK: Bilary/(Lara Black) has thrown the rapid cable layer (Engineering (109, 79, 2))
[2018-08-20 15:40:47.102] ATTACK: Enkidienne/(Nerissa Ratcliff) has thrown the monkey cube box (Xenobiology Lab (168, 101, 2))
[2018-08-20 15:40:56.375] ATTACK: Enkidienne/(Nerissa Ratcliff) has thrown the monkey cube box (Xenobiology Lab (168, 101, 2))
[2018-08-20 15:41:02.983] ATTACK: Red Axolotl/(Breaks-The-Bad) has thrown the mechanical toolbox (Aft Primary Hallway (115, 85, 2))
[2018-08-20 15:41:03.005] ATTACK: Red Axolotl/(Breaks-The-Bad) has threw and hit Red Axolotl/(Breaks-The-Bad) with [mechanical toolbox] (NEWHP: 81)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:03.606] ATTACK: Red Axolotl/(Breaks-The-Bad) has pushed over pandolphina/(Hugo Dickinson) (NEWHP: 100)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:04.129] ATTACK: Red Axolotl/(Breaks-The-Bad) has wrist wrenched (Sleeping Carp) pandolphina/(Hugo Dickinson) (NEWHP: 100)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:04.133] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched pandolphina/(Hugo Dickinson) (NEWHP: 96.25)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:04.972] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm pandolphina/(Hugo Dickinson) (NEWHP: 96.25)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:05.861] ATTACK: Red Axolotl/(Breaks-The-Bad) has wrist wrenched (Sleeping Carp) pandolphina/(Hugo Dickinson) (NEWHP: 96.25)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:05.864] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched pandolphina/(Hugo Dickinson) (NEWHP: 91.05)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:06.740] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed pandolphina/(Hugo Dickinson) (NEWHP: 91.05)  (Aft Primary Hallway (115, 86, 2))
[2018-08-20 15:41:08.446] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm pandolphina/(Hugo Dickinson) (NEWHP: 87.3)  (Aft Primary Hallway (114, 87, 2))
[2018-08-20 15:41:09.543] ATTACK: Red Axolotl/(Breaks-The-Bad) has wrist wrenched (Sleeping Carp) pandolphina/(Hugo Dickinson) (NEWHP: 87.3)  (Aft Primary Hallway (114, 87, 2))
[2018-08-20 15:41:09.546] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched pandolphina/(Hugo Dickinson) (NEWHP: 84.3)  (Aft Primary Hallway (114, 87, 2))
[2018-08-20 15:41:10.372] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed pandolphina/(Hugo Dickinson) (NEWHP: 84.3)  (Aft Primary Hallway (114, 87, 2))
[2018-08-20 15:41:11.257] ATTACK: Red Axolotl/(Breaks-The-Bad) has wrist wrenched (Sleeping Carp) pandolphina/(Hugo Dickinson) (NEWHP: 84.3)  (Aft Primary Hallway (114, 87, 2))
[2018-08-20 15:41:11.259] ATTACK: Red Axolotl/(Breaks-The-Bad) has punched pandolphina/(Hugo Dickinson) (NEWHP: 78.3)  (Aft Primary Hallway (114, 87, 2))
[2018-08-20 15:41:13.844] ATTACK: Bilary/(Lara Black) has thrown the mechanical toolbox (Engineering Foyer (117, 85, 2))
[2018-08-20 15:41:28.510] ATTACK: Red Axolotl/(Breaks-The-Bad) has thrown the banana cream pie (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:41:28.513] ATTACK: Red Axolotl/(Breaks-The-Bad) has threw and hit pandolphina/(Hugo Dickinson) with [banana cream pie] (NEWHP: 78.3)  (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:41:31.325] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked pandolphina/(Hugo Dickinson) with wrench[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 74.6)  (Aft Primary Hallway (113, 99, 2))
[2018-08-20 15:41:31.350] ATTACK: pandolphina/(Hugo Dickinson) has leg sweeped Red Axolotl/(Breaks-The-Bad) (NEWHP: 76)  (Aft Primary Hallway (114, 99, 2))
[2018-08-20 15:41:34.463] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 76)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:34.602] ATTACK: pandolphina/(Hugo Dickinson) has shot Red Axolotl/(Breaks-The-Bad) with [laser] (NEWHP: 56)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:34.993] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 56)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:35.106] ATTACK: pandolphina/(Hugo Dickinson) has shot Red Axolotl/(Breaks-The-Bad) with [laser] (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:35.427] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:35.966] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:36.447] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:36.993] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:37.488] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:37.945] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:38.914] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
