[2018-08-20 18:11:58.911] Starting up round ID 2020.
[2018-08-20 18:11:58.911] -------------------------
[2018-08-20 18:17:28.161] ATTACK: Ceanox/(Shushed Beatings) has thrown the mime mask (Theatre (135, 149, 2))
[2018-08-20 18:17:29.807] ATTACK: Ceanox/(Shushed Beatings) has thrown the suspenders (Theatre (135, 149, 2))
[2018-08-20 18:17:30.861] ATTACK: Ceanox/(Shushed Beatings) has thrown the mime's outfit (Theatre (135, 149, 2))
[2018-08-20 18:17:59.173] ATTACK: BoxxyBooty/(Bumps) has thrown the black gloves (Chief Engineer's Office (119, 82, 2))
[2018-08-20 18:18:01.136] ATTACK: Davidththird/(Tyron Jamal) has attacked [Robotics R&D Console] with [glass] (Robotics Lab (173, 125, 2))
[2018-08-20 18:18:04.383] ATTACK: Davidththird/(Tyron Jamal) has attacked [Robotics R&D Console] with [glass] (Robotics Lab (173, 125, 2))
[2018-08-20 18:18:07.539] ATTACK: Davidththird/(Tyron Jamal) has thrown the glass (Robotics Lab (173, 125, 2))
[2018-08-20 18:18:16.599] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the null rod (Chapel (181, 139, 2))
[2018-08-20 18:18:26.062] ATTACK: MonkeyMan901/(Jerry Robinson) has electrified [maintenance access] (Arrival Shuttle Hallway (50, 130, 2))
[2018-08-20 18:18:26.067] ATTACK: [maintenance access] has electrocuted MonkeyMan901/(Jerry Robinson) (NEWHP: 80.825)  (Port Maintenance (51, 129, 2))
[2018-08-20 18:19:00.941] ATTACK: MonkeyMan901/(Jerry Robinson) has attacked [Law Office] with [pocket crowbar] (Fore Primary Hallway (109, 162, 2))
[2018-08-20 18:19:40.087] ATTACK: Bilary/(Lara Black) has thrown the rack parts (Cargo Bay (78, 116, 2))
[2018-08-20 18:19:46.560] ATTACK: Ceanox/(Shushed Beatings) has thrown the fingerless gloves (Robotics Lab (177, 119, 2))
[2018-08-20 18:19:46.754] ATTACK: Davidththird/(Tyron Jamal) has flashed(targeted) Ceanox/(Shushed Beatings) with [flash] (NEWHP: 100)  (Robotics Lab (176, 119, 2))
[2018-08-20 18:19:48.956] ATTACK: Davidththird/(Tyron Jamal) has grabbed Ceanox/(Shushed Beatings) passive grab (NEWHP: 100)  (Robotics Lab (176, 119, 2))
[2018-08-20 18:20:03.417] ATTACK: TCOR3987/(Ismael Edwards) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Robotics Lab (174, 122, 2))
