[2018-08-21 01:10:44.849] Starting up round ID 2025.
[2018-08-21 01:10:44.849] -------------------------
[2018-08-21 01:16:50.083] ATTACK: BuckyBoy/(Beau Richards) has thrown the soapstone (Library (176, 139, 2))
[2018-08-21 01:17:10.550] ATTACK: BuckyBoy/(Beau Richards) has thrown the sensible suit (Library (176, 139, 2))
[2018-08-21 01:17:18.632] ATTACK: BuckyBoy/(Beau Richards) has thrown the black shoes (Library (176, 139, 2))
[2018-08-21 01:17:35.078] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (126, 129, 2))
[2018-08-21 01:18:31.708] ATTACK: BuckyBoy/(Beau Richards) has thrown the rubber ducky (Dormitory Toilets (124, 147, 2))
[2018-08-21 01:20:43.131] ATTACK: CthulhuOnIce/(Declan Judge) has attacked CthulhuOnIce/(Declan Judge) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 88.75)  (Starboard Primary Hallway (157, 129, 2))
[2018-08-21 01:20:45.007] ATTACK: CthulhuOnIce/(Declan Judge) has attacked CthulhuOnIce/(Declan Judge) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 62.5)  (Starboard Primary Hallway (157, 129, 2))
[2018-08-21 01:20:45.406] ATTACK: CthulhuOnIce/(Declan Judge) has attacked CthulhuOnIce/(Declan Judge) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 70)  (Starboard Primary Hallway (157, 129, 2))
[2018-08-21 01:21:49.535] ATTACK: CthulhuOnIce/(Declan Judge) has attacked CthulhuOnIce/(Declan Judge) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 55)  (Robotics Lab (171, 120, 2))
[2018-08-21 01:22:12.750] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:13.675] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:14.899] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:16.350] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:17.949] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:22.172] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:22.973] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:24.087] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:24.893] ATTACK: BuckyBoy/(Beau Richards) has thrown the curator's whip (Robotics Lab (175, 124, 2))
[2018-08-21 01:22:26.893] ATTACK: BuckyBoy/(Beau Richards) has thrown the curator's whip (Robotics Lab (175, 124, 2))
[2018-08-21 01:22:33.450] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:34.880] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:36.449] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:37.549] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:22:38.020] ATTACK: CthulhuOnIce/(Declan Judge) has leg sweeped BuckyBoy/(Beau Richards) (NEWHP: 95)  (Robotics Lab (174, 124, 2))
[2018-08-21 01:22:40.948] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 95)  (Robotics Lab (174, 124, 2))
[2018-08-21 01:22:54.664] ATTACK: CthulhuOnIce/(Declan Judge) has leg sweeped BuckyBoy/(Beau Richards) (NEWHP: 90)  (Robotics Lab (176, 122, 2))
[2018-08-21 01:22:58.241] ATTACK: CthulhuOnIce/(Declan Judge) has attacked BuckyBoy/(Beau Richards) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 78.75)  (Robotics Lab (176, 122, 2))
[2018-08-21 01:22:59.044] ATTACK: CthulhuOnIce/(Declan Judge) has attacked BuckyBoy/(Beau Richards) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 52.5)  (Robotics Lab (176, 122, 2))
[2018-08-21 01:23:08.892] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (126, 131, 2))
[2018-08-21 01:23:09.835] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (126, 131, 2))
[2018-08-21 01:23:14.271] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:14.293] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (125, 130, 2))
[2018-08-21 01:23:15.226] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (125, 130, 2))
[2018-08-21 01:23:15.260] ATTACK: BuckyBoy/(Beau Richards) has attacked [reinforced window] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:16.112] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (125, 130, 2))
[2018-08-21 01:23:16.625] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:29.517] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:30.390] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:31.217] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
