[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 17:57:11.084] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:11.419] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at Mr.Cheese1/(Buzzbo Billington) with [lollipop] from Hydroponics (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:11.849] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at Mr.Cheese1/(Buzzbo Billington) with [lollipop] from Hydroponics (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:12.301] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:12.508] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:12.737] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:12.895] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.124] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.293] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.433] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.596] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.733] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.895] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:13.999] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:14.193] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
[2018-08-22 17:57:14.370] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has fired at [floor] with [lollipop] from Hydroponics (Hydroponics (157, 134, 2))
[2018-08-22 17:57:14.545] ATTACK: Bilary/(E.N.C.H.A.N.C.E) has shot Mr.Cheese1/(Buzzbo Billington) with [lollipop] (NEWHP: 100)  (Hydroponics (157, 134, 2))
