[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:01:03.082] ATTACK: BRhunter45/(Adolph Mills) has thrown the armor vest (Bar (144, 143, 2))
[2018-08-26 06:01:26.310] ATTACK: BRhunter45/(Adolph Mills) has thrown Tapper: This One's For You (Bar (144, 143, 2))
[2018-08-26 06:06:07.581] ATTACK: BRhunter45/(Adolph Mills) has thrown the flashlight (Central Primary Hallway (111, 111, 2))
[2018-08-26 06:06:51.656] ATTACK: BRhunter45/(Adolph Mills) has fired at [floor] with [bolt] from Aft Primary Hallway (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:06:58.765] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:06:59.653] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:00.444] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:01.253] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:02.030] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:02.868] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:03.806] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:04.691] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:05.515] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:06.388] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:07.370] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:08.361] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:09.236] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:10.184] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:11.191] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:12.081] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:13.336] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:14.242] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:15.148] ATTACK: BRhunter45/(Adolph Mills) has attacked [Atmospherics Desk] with [double-barreled shotgun] (Aft Primary Hallway (115, 98, 2))
[2018-08-26 06:07:20.925] ATTACK: BRhunter45/(Adolph Mills) has climbed onto [reinforced table] (Atmospherics (116, 98, 2))
[2018-08-26 06:07:39.405] ATTACK: BRhunter45/(Adolph Mills) has attacked [computer frame] with [screwdriver] (Atmospherics (120, 99, 2))
[2018-08-26 06:07:46.015] ATTACK: BRhunter45/(Adolph Mills) has attacked [computer frame] with [pocket crowbar] (Atmospherics (120, 99, 2))
[2018-08-26 06:07:49.954] ATTACK: BRhunter45/(Adolph Mills) has attacked [computer frame] with [wrench] (Atmospherics (120, 99, 2))
[2018-08-26 06:07:53.114] ATTACK: BRhunter45/(Adolph Mills) has attacked [computer frame] with [wirecutters] (Atmospherics (120, 99, 2))
[2018-08-26 06:09:14.602] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [double-barreled shotgun] (Atmospherics (121, 99, 2))
[2018-08-26 06:09:15.451] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [double-barreled shotgun] (Atmospherics (121, 99, 2))
[2018-08-26 06:09:16.317] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [double-barreled shotgun] (Atmospherics (121, 99, 2))
