[2018-08-27 19:13:21.801] Starting up round ID 2101.
[2018-08-27 19:13:21.801] -------------------------
[2018-08-27 19:17:18.254] ATTACK: Bilary/(Lara Black) has thrown the marker beacon (Mining Dock (89, 105, 2))
[2018-08-27 19:19:09.133] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (75, 146, 2))
[2018-08-27 19:19:12.651] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (75, 146, 2))
[2018-08-27 19:19:13.448] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (75, 146, 2))
[2018-08-27 19:19:19.338] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (73, 146, 2))
[2018-08-27 19:19:20.104] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (73, 146, 2))
[2018-08-27 19:19:20.802] ATTACK: Manmail/(Jingle) has shaked Smarrazzo/(Wesley Snipes) (NEWHP: 100)  (Primary Tool Storage (73, 145, 2))
[2018-08-27 19:19:21.035] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (73, 146, 2))
[2018-08-27 19:19:25.326] ATTACK: Smarrazzo/(Wesley Snipes) has shaked Manmail/(Jingle) (NEWHP: 100)  (Primary Tool Storage (74, 145, 2))
[2018-08-27 19:19:55.975] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (92, 45, 5))
[2018-08-27 19:19:58.069] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (92, 44, 5))
[2018-08-27 19:19:59.868] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (92, 44, 5))
[2018-08-27 19:20:01.472] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (92, 43, 5))
[2018-08-27 19:20:03.174] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (92, 43, 5))
[2018-08-27 19:20:04.926] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (92, 42, 5))
[2018-08-27 19:20:07.224] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (92, 42, 5))
[2018-08-27 19:20:08.356] ATTACK: AstronautCat/(Delia Eld) has attacked *no key*/(mouse) with wrench[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Port Quarter Maintenance (96, 108, 2))
[2018-08-27 19:20:08.869] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (92, 42, 5))
[2018-08-27 19:22:26.593] ATTACK: AstronautCat/(Delia Eld) has attacked [reinforced girder] with [wirecutters] (Port Quarter Maintenance (95, 77, 2))
[2018-08-27 19:22:36.091] ATTACK: AstronautCat/(Delia Eld) has attacked [reinforced girder] with [wrench] (Port Quarter Maintenance (95, 77, 2))
[2018-08-27 19:23:59.394] ATTACK: AstronautCat/(Delia Eld) has attacked *no key*/(mouse) with screwdriver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Port Quarter Maintenance (97, 77, 2))
[2018-08-27 19:25:40.125] ATTACK: Manmail/(Jingle) has thrown the clown's rubber stamp (Cargo Office (94, 118, 2))
[2018-08-27 19:25:50.627] ATTACK: Smarrazzo/(Wesley Snipes) has thrown the clown's rubber stamp (Cargo Office (91, 118, 2))
[2018-08-27 19:25:50.632] ATTACK: Smarrazzo/(Wesley Snipes) has threw and hit Manmail/(Jingle) with [clown's rubber stamp] (NEWHP: 100)  (Cargo Office (91, 118, 2))
[2018-08-27 19:26:06.380] ATTACK: Smarrazzo/(Wesley Snipes) has fed Manmail/(Jingle) with nutriment (3u) and sugar (2u)[DC] (NEWHP: 100)  (Cargo Office (93, 120, 2))
[2018-08-27 19:26:17.129] ATTACK: Smarrazzo/(Wesley Snipes) has fed Mr.Cheese1/(Buzzbo Billington) with nutriment (3u) and sugar (2u)[DC] (NEWHP: 100)  (Cargo Office (92, 118, 2))
[2018-08-27 19:26:21.448] ATTACK: Smarrazzo/(Wesley Snipes) has thrown the donut box (Cargo Office (92, 118, 2))
[2018-08-27 19:26:26.625] ATTACK: Mr.Cheese1/(Buzzbo Billington) has shaked Manmail/(Jingle) (NEWHP: 100)  (Cargo Office (93, 119, 2))
[2018-08-27 19:29:24.993] ATTACK: Smarrazzo/(Wesley Snipes) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-08-27 19:29:44.160] ATTACK: Smarrazzo/(Wesley Snipes) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-08-27 19:29:48.708] ATTACK: Manmail/(Jingle) has attacked *no key*/(Officer Beepsky) with bike horn[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 25)  (Central Primary Hallway (129, 128, 2))
[2018-08-27 19:29:50.057] ATTACK: Bilary/(Lara Black) has thrown the explorer suit (Mining Dock (89, 105, 2))
[2018-08-27 19:29:54.770] ATTACK: Manmail/(Jingle) has attacked *no key*/(Officer Beepsky) with bike horn[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 25)  (Starboard Primary Hallway (138, 129, 2))
[2018-08-27 19:30:03.712] ATTACK: Manmail/(Jingle) has attacked Smarrazzo/(Wesley Snipes) with bike horn[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Starboard Primary Hallway (149, 130, 2))
[2018-08-27 19:30:42.179] ATTACK: AstronautCat/(Delia Eld) has attacked [wall] with [metal] (Central Maintenance (126, 121, 2))
[2018-08-27 19:30:46.746] ATTACK: AstronautCat/(Delia Eld) has attacked [wall] with [metal] (Central Maintenance (126, 121, 2))
