[2018-08-28 23:06:50.342] Starting up round ID 2110.
[2018-08-28 23:06:50.343] -------------------------
[2018-08-28 23:10:36.130] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the box (Mining Dock (89, 107, 2))
[2018-08-28 23:10:38.953] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the marker beacon (Mining Dock (89, 107, 2))
[2018-08-28 23:11:18.667] ATTACK: Bilary/(Lara Black) has thrown the beaker (Research and Development (184, 122, 2))
[2018-08-28 23:15:29.283] ATTACK: *no key*/(Pete) has attacked Shoeater/(Scotty Lord) (NEWHP: 100)  (Kitchen (150, 142, 2))
[2018-08-28 23:15:31.282] ATTACK: *no key*/(Pete) has attacked Shoeater/(Scotty Lord) (NEWHP: 99.2)  (Kitchen (150, 142, 2))
[2018-08-28 23:15:33.282] ATTACK: *no key*/(Pete) has attacked Shoeater/(Scotty Lord) (NEWHP: 97.7)  (Kitchen (150, 141, 2))
[2018-08-28 23:16:40.788] ATTACK: Shoeater/(Scotty Lord) learned the martial art sleeping carp (The Sleeping Carp) (Bar (132, 133, 2))
[2018-08-28 23:16:57.237] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (79, 66, 5))
[2018-08-28 23:16:57.373] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (79, 66, 5))
[2018-08-28 23:16:57.375] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [weakened kinetic force] (NEWHP: 0)  (Lavaland Wastes (79, 66, 5))
[2018-08-28 23:17:18.215] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(legion) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 70)  (Lavaland Wastes (80, 80, 5))
[2018-08-28 23:17:19.167] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(legion) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 65)  (Lavaland Wastes (80, 80, 5))
[2018-08-28 23:17:20.489] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 25)  (Lavaland Wastes (80, 80, 5))
[2018-08-28 23:17:20.641] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (80, 80, 5))
[2018-08-28 23:17:21.635] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(legion) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (80, 80, 5))
[2018-08-28 23:17:30.498] ATTACK: AzlanonPc/(Jetra Norlan) has stripped the explorer's webbing off *no key*/(Alberto Jones) (NEWHP: -707.1)  (Lavaland Wastes (81, 81, 5))
[2018-08-28 23:18:07.853] ATTACK: [�Plasteel Chef's Dinnerware Vendor] has electrocuted Shoeater/(Scotty Lord) (NEWHP: 90)  (Kitchen (147, 138, 2))
[2018-08-28 23:18:12.124] ATTACK: GreenTea98/(Helps-The-Station) has shaked Shoeater/(Scotty Lord) (NEWHP: 90)  (Kitchen (146, 137, 2))
[2018-08-28 23:18:14.219] ATTACK: [�Plasteel Chef's Dinnerware Vendor] has electrocuted Shoeater/(Scotty Lord) (NEWHP: 80.8)  (Kitchen (147, 138, 2))
[2018-08-28 23:18:19.002] ATTACK: GreenTea98/(Helps-The-Station) has shaked Shoeater/(Scotty Lord) (NEWHP: 80.8)  (Kitchen (147, 137, 2))
[2018-08-28 23:18:42.876] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (115, 84, 5))
[2018-08-28 23:18:42.973] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (115, 84, 5))
[2018-08-28 23:18:47.084] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (113, 84, 5))
[2018-08-28 23:18:47.182] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (113, 84, 5))
[2018-08-28 23:18:50.370] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (112, 84, 5))
[2018-08-28 23:18:50.473] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (112, 84, 5))
[2018-08-28 23:18:56.288] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (111, 84, 5))
[2018-08-28 23:18:56.383] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (111, 84, 5))
[2018-08-28 23:20:05.415] ATTACK: Bilary/(Lara Black) has thrown the cable coil (Research and Development (186, 121, 2))
[2018-08-28 23:20:27.700] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) passive grab (NEWHP: 100)  (Starboard Primary Hallway (149, 130, 2))
[2018-08-28 23:20:27.701] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) aggressively (NEWHP: 100)  (Starboard Primary Hallway (149, 130, 2))
[2018-08-28 23:20:29.907] ATTACK: Shoeater/(Scotty Lord) has attempted to neck grab gaminbrobasher/(Keaton Bloise) neck grab (NEWHP: 100)  (Starboard Primary Hallway (149, 130, 2))
[2018-08-28 23:20:30.482] ATTACK: Shoeater/(Scotty Lord) has broke grab gaminbrobasher/(Keaton Bloise) (NEWHP: 100)  (Starboard Primary Hallway (149, 130, 2))
[2018-08-28 23:20:33.249] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) passive grab (NEWHP: 100)  (Starboard Primary Hallway (147, 128, 2))
[2018-08-28 23:20:33.250] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) aggressively (NEWHP: 100)  (Starboard Primary Hallway (147, 128, 2))
[2018-08-28 23:20:38.193] ATTACK: Shoeater/(Scotty Lord) has thrown gaminbrobasher/(Keaton Bloise) grab from tile in Starboard Primary Hallway (149, 128, 2) towards tile at Kitchen (149, 132, 2) (NEWHP: 100)  (Starboard Primary Hallway (149, 128, 2))
[2018-08-28 23:20:38.195] ATTACK: Shoeater/(Scotty Lord) has thrown Keaton Bloise (Starboard Primary Hallway (149, 128, 2))
[2018-08-28 23:20:47.988] ATTACK: gaminbrobasher/(Keaton Bloise) has attacked Shoeater/(Scotty Lord) with Pride-struck Hammer[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 68.8)  (Starboard Primary Hallway (142, 129, 2))
[2018-08-28 23:20:49.240] ATTACK: gaminbrobasher/(Keaton Bloise) has attacked Shoeater/(Scotty Lord) with Pride-struck Hammer[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 52.8)  (Starboard Primary Hallway (139, 129, 2))
[2018-08-28 23:20:56.965] ATTACK: GreenTea98/(Helps-The-Station) has thrown Tapper: This One's For You (Bar (144, 143, 2))
[2018-08-28 23:20:58.287] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) with  removing Pride-struck Hammer[DC] (NEWHP: 100)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:05.838] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 96.2)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:06.722] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 96.2)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:06.724] ATTACK: Shoeater/(Scotty Lord) has attempted to punch gaminbrobasher/(Keaton Bloise) (NEWHP: 96.2)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:07.640] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 96.2)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:08.465] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 96.2)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:08.469] ATTACK: Shoeater/(Scotty Lord) has punched gaminbrobasher/(Keaton Bloise) (NEWHP: 92.9)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:09.530] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 92.9)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:10.594] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) passive grab (NEWHP: 92.9)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:10.594] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) aggressively (NEWHP: 92.9)  (Starboard Primary Hallway (158, 130, 2))
[2018-08-28 23:21:11.948] ATTACK: GreenTea98/(Helps-The-Station) has thrown the top-hat (Bar (144, 138, 2))
[2018-08-28 23:21:11.993] ATTACK: Shoeater/(Scotty Lord) has attempted to neck grab gaminbrobasher/(Keaton Bloise) neck grab (NEWHP: 92.9)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-28 23:21:13.054] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (105, 95, 5))
[2018-08-28 23:21:13.706] ATTACK: Shoeater/(Scotty Lord) has pushed over gaminbrobasher/(Keaton Bloise) (NEWHP: 92.9)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-28 23:21:14.664] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 92.9)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-28 23:21:14.666] ATTACK: Shoeater/(Scotty Lord) has punched gaminbrobasher/(Keaton Bloise) (NEWHP: 91.4)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-28 23:21:15.671] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 91.4)  (Starboard Primary Hallway (161, 130, 2))
[2018-08-28 23:21:16.427] ATTACK: Shoeater/(Scotty Lord) has broke grab gaminbrobasher/(Keaton Bloise) (NEWHP: 91.4)  (Starboard Primary Hallway (162, 130, 2))
[2018-08-28 23:21:17.241] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(legion) with bone dagger[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (114, 95, 5))
[2018-08-28 23:21:18.937] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (108, 95, 5))
[2018-08-28 23:21:19.074] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (106, 95, 5))
[2018-08-28 23:21:19.761] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(legion) with bone dagger[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (106, 95, 5))
[2018-08-28 23:21:20.867] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 87.6)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:21.676] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 87.6)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:21.678] ATTACK: Shoeater/(Scotty Lord) has punched gaminbrobasher/(Keaton Bloise) (NEWHP: 84.6)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:22.549] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 84.6)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:23.476] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 84.6)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:23.478] ATTACK: Shoeater/(Scotty Lord) has punched gaminbrobasher/(Keaton Bloise) (NEWHP: 81.1)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:24.403] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 81.1)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:25.314] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 81.1)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:25.315] ATTACK: Shoeater/(Scotty Lord) has attempted to punch gaminbrobasher/(Keaton Bloise) (NEWHP: 81.1)  (Starboard Primary Hallway (155, 130, 2))
[2018-08-28 23:21:54.804] ATTACK: DarktPlaysBR/(Lisa Standley) has thrown the clipboard (Arrival Shuttle (42, 145, 2))
