[2018-08-31 00:33:13.222] Starting up round ID 2134.
[2018-08-31 00:33:13.222] -------------------------
[2018-08-31 00:38:20.018] ATTACK: ChippedIce/(Hana Robusto) has thrown the soapstone (Library (176, 137, 2))
[2018-08-31 00:38:22.650] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 95)  (Virology (159, 99, 2))
[2018-08-31 00:38:23.473] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 82)  (Virology (159, 99, 2))
[2018-08-31 00:38:24.709] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 73)  (Virology (159, 99, 2))
[2018-08-31 00:38:25.972] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 67)  (Virology (159, 99, 2))
[2018-08-31 00:38:27.589] ATTACK: AstronautCat/(Delia Eld) has thrown the marker beacon (Mining Dock (89, 107, 2))
[2018-08-31 00:38:28.688] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 60.2)  (Virology (159, 99, 2))
[2018-08-31 00:38:29.604] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 52.2)  (Virology (159, 99, 2))
[2018-08-31 00:38:30.472] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 38.2)  (Virology (159, 99, 2))
[2018-08-31 00:38:32.189] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 31.5)  (Virology (159, 99, 2))
[2018-08-31 00:38:34.692] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 26.5)  (Virology (159, 99, 2))
[2018-08-31 00:38:35.524] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (698)) (NEWHP: 19.5)  (Virology (159, 99, 2))
[2018-08-31 00:38:52.921] ATTACK: SaltyScabbard/(Slippy Joe) has thrown the stunbaton (Central Primary Hallway (99, 141, 2))
[2018-08-31 00:39:15.478] ATTACK: Shoeater/(Scotty Lord) has climbed onto [reinforced table] (Bar (142, 135, 2))
