[2018-09-03 18:26:44.286] Starting up round ID 2160.
[2018-09-03 18:26:44.286] -------------------------
[2018-09-03 18:32:01.255] ATTACK: Kyutness/(Catocala) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-09-03 18:32:07.005] ATTACK: Kyutness/(Catocala) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-09-03 18:32:57.675] ATTACK: X1pr0/(Connor Brooks) has attacked Davidththird/(Tyron Jamal) with energy sword[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 77.5)  (Dormitories (120, 154, 2))
[2018-09-03 18:32:58.477] ATTACK: X1pr0/(Connor Brooks) has attacked Davidththird/(Tyron Jamal) with energy sword[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 70)  (Dormitories (120, 154, 2))
[2018-09-03 18:32:59.030] ATTACK: Davidththird/(Tyron Jamal) has attempted to touch X1pr0/(Connor Brooks) (NEWHP: 100)  (Dormitories (119, 155, 2))
[2018-09-03 18:32:59.325] ATTACK: X1pr0/(Connor Brooks) has attacked Davidththird/(Tyron Jamal) with energy sword[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40)  (Dormitories (120, 154, 2))
[2018-09-03 18:33:00.271] ATTACK: X1pr0/(Connor Brooks) has attacked Davidththird/(Tyron Jamal) with energy sword[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 10)  (Dormitories (119, 154, 2))
[2018-09-03 18:33:00.553] ATTACK: Davidththird/(Tyron Jamal) has pushed over X1pr0/(Connor Brooks) (NEWHP: 100)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:02.261] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 77.5)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:03.041] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 55)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:04.051] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 25)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:04.827] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: -5)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:05.601] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: -12.5)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:06.390] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: -42.5)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:07.250] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: -72.5)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:08.120] ATTACK: Davidththird/(Tyron Jamal) has attacked X1pr0/(Connor Brooks) with energy sword[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: -102.5)  (Dormitories (119, 155, 2))
[2018-09-03 18:33:51.354] ATTACK: Kyutness/(Catocala) has thrown the wrench (Aft Primary Hallway (114, 93, 2))
[2018-09-03 18:34:46.818] ATTACK: Kyutness/(Catocala) has grabbed *no key*/(Connor Brooks) passive grab (NEWHP: -102.5)  (Dormitories (120, 154, 2))
[2018-09-03 18:35:16.481] ATTACK: Kyutness/(Catocala) has stripped the science goggles off *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 142, 2))
[2018-09-03 18:35:17.781] ATTACK: Kyutness/(Catocala) has stripped the chemistry backpack off *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 142, 2))
[2018-09-03 18:35:18.881] ATTACK: Kyutness/(Catocala) has stripped the medical radio headset off *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 142, 2))
[2018-09-03 18:35:19.431] ATTACK: Kyutness/(Catocala) has stripped the chemist labcoat off *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 142, 2))
[2018-09-03 18:35:19.781] ATTACK: Kyutness/(Catocala) has stripped the white shoes off *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 142, 2))
[2018-09-03 18:35:20.131] ATTACK: Kyutness/(Catocala) has stripped the chemist's jumpsuit off *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 142, 2))
[2018-09-03 18:35:28.924] ATTACK: Kyutness/(Catocala) has grabbed *no key*/(Connor Brooks) passive grab (NEWHP: -102.5)  (Chapel Office (175, 143, 2))
[2018-09-03 18:35:32.595] ATTACK: Kyutness/(Catocala) has cremated *no key*/(Connor Brooks) (NEWHP: -102.5)  (Chapel Office (175, 144, 2))
[2018-09-03 18:35:37.886] ATTACK: Kyutness/(Catocala) has thrown the chemistry backpack (Chapel Office (174, 143, 2))
[2018-09-03 18:35:39.076] ATTACK: Kyutness/(Catocala) has thrown the chemist's jumpsuit (Chapel Office (174, 143, 2))
[2018-09-03 18:35:39.946] ATTACK: Kyutness/(Catocala) has thrown the chemist labcoat (Chapel Office (174, 143, 2))
[2018-09-03 18:36:15.818] ATTACK: Kyutness/(Catocala) has implanted Kyutness/(Catocala) with a storage implant[DC] (NEWHP: 100)  (Chapel Office (174, 144, 2))
[2018-09-03 18:36:24.575] ATTACK: Davidththird/(Tyron Jamal) has thrown the energy sword (Cargo Office (92, 118, 2))
[2018-09-03 18:36:24.578] ATTACK: Davidththird/(Tyron Jamal) has threw and hit David Blanc/(Gage Young) with [energy sword] (NEWHP: 95)  (Cargo Office (92, 118, 2))
[2018-09-03 18:36:30.074] ATTACK: David Blanc/(Gage Young) has attacked David Blanc/(Gage Young) with energy sword[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 65)  (Cargo Office (90, 118, 2))
[2018-09-03 18:36:33.888] ATTACK: David Blanc/(Gage Young) has attacked David Blanc/(Gage Young) with energy sword[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 35)  (Cargo Office (90, 118, 2))
[2018-09-03 18:36:50.767] ATTACK: APersonsName222/(Pavlo Asterton) has shaked David Blanc/(Gage Young) (NEWHP: 75)  (Cargo Office (91, 119, 2))
[2018-09-03 18:36:57.679] ATTACK: Kyutness/(Catocala) has thrown the chemist's jumpsuit (Chapel Office (174, 143, 2))
[2018-09-03 18:36:59.699] ATTACK: Kyutness/(Catocala) has thrown the chemist labcoat (Chapel Office (174, 143, 2))
[2018-09-03 18:37:06.208] ATTACK: Kyutness/(Catocala) has thrown the chemistry backpack (Chapel Office (175, 143, 2))
[2018-09-03 18:37:09.722] ATTACK: Kyutness/(Catocala) has thrown the chemistry backpack (Chapel Office (175, 143, 2))
[2018-09-03 18:37:10.379] ATTACK: David Blanc/(Gage Young) has thrown the energy sword (Cargo Office (88, 118, 2))
[2018-09-03 18:37:13.870] ATTACK: Kyutness/(Catocala) has thrown the medical radio headset (Chapel Office (174, 143, 2))
[2018-09-03 18:37:14.768] ATTACK: Kyutness/(Catocala) has thrown the white shoes (Chapel Office (174, 143, 2))
[2018-09-03 18:37:16.371] ATTACK: Kyutness/(Catocala) has thrown Connor Brooks's ID Card (Chemist) (Chapel Office (174, 143, 2))
[2018-09-03 18:37:19.631] ATTACK: Kyutness/(Catocala) has thrown the science goggles (Chapel Office (174, 143, 2))
[2018-09-03 18:38:18.100] ATTACK: Davidththird/(Tyron Jamal) has thrown the cable coil (Central Primary Hallway (110, 141, 2))
[2018-09-03 18:38:19.919] ATTACK: Davidththird/(Tyron Jamal) has thrown the box of crayons (Central Primary Hallway (110, 141, 2))
[2018-09-03 18:38:26.719] ATTACK: Kyutness/(Catocala) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-03 18:39:47.582] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 100)  (Central Primary Hallway (112, 142, 2))
[2018-09-03 18:39:54.988] ATTACK: [Tech Storage] has electrocuted APersonsName222/(Pavlo Asterton) (NEWHP: 89.6)  (Technical Storage (111, 106, 2))
[2018-09-03 18:40:05.851] ATTACK: Kyutness/(Catocala) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-03 18:40:15.342] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 100)  (Central Primary Hallway (112, 142, 2))
[2018-09-03 18:40:22.234] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 100)  (Central Primary Hallway (112, 142, 2))
[2018-09-03 18:40:25.743] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 100)  (Central Primary Hallway (112, 142, 2))
[2018-09-03 18:40:39.208] ATTACK: Kyutness/(Catocala) has thrown the plate (Bar (142, 133, 2))
[2018-09-03 18:40:40.219] ATTACK: Greyjir/(Cole Vader) has punched Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (112, 141, 2))
[2018-09-03 18:40:50.997] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (113, 142, 2))
[2018-09-03 18:40:55.718] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (113, 142, 2))
[2018-09-03 18:41:04.604] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (114, 142, 2))
[2018-09-03 18:41:05.809] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (114, 142, 2))
[2018-09-03 18:41:59.537] ATTACK: Davidththird/(Tyron Jamal) has thrown the box of crayons (Central Primary Hallway (110, 141, 2))
[2018-09-03 18:42:11.104] ATTACK: Greyjir/(Cole Vader) has punched APersonsName222/(Pavlo Asterton) (NEWHP: 82.6)  (Auxiliary Tool Storage (92, 136, 2))
[2018-09-03 18:42:40.822] ATTACK: Davidththird/(Tyron Jamal) has thrown the welding tool (Arrival Shuttle Hallway (48, 153, 2))
[2018-09-03 18:42:45.910] ATTACK: Davidththird/(Tyron Jamal) has attacked [girder] with [screwdriver] (Arrival Shuttle Hallway (48, 153, 2))
[2018-09-03 18:42:51.104] ATTACK: David Blanc/(Gage Young) has thrown the multitool (Cargo Office (93, 118, 2))
