[2018-09-04 17:45:01.465] Starting up round ID 2174.
[2018-09-04 17:45:01.465] -------------------------
[2018-09-04 17:49:06.886] ATTACK: Bilary/(Lara Black) has thrown the black cap (Locker Room (67, 135, 2))
[2018-09-04 17:49:12.188] ATTACK: Bilary/(Lara Black) has thrown the black shoes (Locker Room (68, 135, 2))
[2018-09-04 17:50:23.300] ATTACK: DotLyna/(Lyna Lavas) has thrown Landing Field Designator (Mining Dock (89, 105, 2))
[2018-09-04 17:51:00.298] ATTACK: Luka Noktorios/(Josh Alabam) has climbed onto [table] (Medbay Central (138, 126, 2))
[2018-09-04 17:51:53.739] ATTACK: DotLyna/(Lyna Lavas) has thrown the analyzer (Mining Station EVA (64, 39, 5))
[2018-09-04 17:52:26.162] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (183, 127, 2))
[2018-09-04 17:52:27.618] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (183, 127, 2))
[2018-09-04 17:52:28.439] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (183, 127, 2))
[2018-09-04 17:52:29.397] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (184, 127, 2))
[2018-09-04 17:52:30.324] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (184, 127, 2))
[2018-09-04 17:52:31.277] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (184, 127, 2))
[2018-09-04 17:52:32.114] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (184, 127, 2))
[2018-09-04 17:52:32.947] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (184, 127, 2))
[2018-09-04 17:52:34.206] ATTACK: Bilary/(Lara Black) has attacked [Research and Development Desk] with [�Hanzo steel] (Starboard Primary Hallway (184, 127, 2))
