[2018-09-04 21:47:16.162] Starting up round ID 2177.
[2018-09-04 21:47:16.162] -------------------------
[2018-09-04 21:50:44.086] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 75)  (Lavaland Wastes (101, 146, 5))
[2018-09-04 21:50:46.090] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 63)  (Lavaland Wastes (101, 146, 5))
[2018-09-04 21:50:48.090] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 51)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:50:48.096] ATTACK: *no key*/(Clown) has attacked *no key*/(legion) (NEWHP: 5)  (Lavaland Labor Camp (101, 145, 5))
[2018-09-04 21:50:50.150] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 39)  (Lavaland Wastes (101, 146, 5))
[2018-09-04 21:50:50.155] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 27)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:50:52.194] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 15)  (Lavaland Wastes (101, 146, 5))
[2018-09-04 21:50:52.198] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 3)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:50:54.631] ATTACK: Mr.Cheese1/(Benny Tequila) has grabbed *no key*/(monkey (581)) passive grab (NEWHP: 100)  (Genetics Lab (159, 118, 2))
[2018-09-04 21:50:58.428] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 75)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:50:58.434] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 63)  (Unexplored Location (102, 145, 5))
[2018-09-04 21:51:00.481] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 51)  (Unexplored Location (102, 145, 5))
[2018-09-04 21:51:00.484] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 39)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:51:02.482] ATTACK: *no key*/(Clown) has attacked *no key*/(legion) (NEWHP: 5)  (Lavaland Labor Camp (103, 145, 5))
[2018-09-04 21:51:02.486] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 27)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:51:04.534] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 15)  (Lavaland Wastes (102, 146, 5))
[2018-09-04 21:51:04.540] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 3)  (Unexplored Location (102, 145, 5))
[2018-09-04 21:51:16.766] ATTACK: Bilary/(Lara Black) has thrown the medical belt (Medbay Treatment Center (144, 109, 2))
[2018-09-04 21:51:19.110] ATTACK: *no key*/(Clown) has attacked *no key*/(legion) (NEWHP: 75)  (Lavaland Wastes (102, 147, 5))
[2018-09-04 21:51:23.111] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 23)  (Lavaland Wastes (101, 148, 5))
[2018-09-04 21:51:23.118] ATTACK: *no key*/(Clown) has attacked *no key*/(legion) (NEWHP: 5)  (Lavaland Wastes (102, 147, 5))
[2018-09-04 21:51:25.114] ATTACK: *no key*/(legion) has attacked *no key*/(Clown) (NEWHP: 3)  (Lavaland Wastes (103, 148, 5))
[2018-09-04 21:51:48.993] ATTACK: Bilary/(Lara Black) has thrown the jackboots (Locker Room (67, 135, 2))
[2018-09-04 21:51:51.448] ATTACK: Bilary/(Lara Black) has thrown the black bandana (Locker Room (67, 135, 2))
[2018-09-04 21:51:53.625] ATTACK: Bilary/(Lara Black) has thrown the black bandana (Locker Room (67, 135, 2))
[2018-09-04 21:51:58.032] ATTACK: Bilary/(Lara Black) has thrown the top-hat (Locker Room (67, 135, 2))
[2018-09-04 21:51:59.475] ATTACK: Bilary/(Lara Black) has thrown EMT cap (Locker Room (67, 135, 2))
[2018-09-04 21:52:15.206] ATTACK: SuperbDingaling/(Mateo Keppel) has fed SuperbDingaling/(Mateo Keppel) with oxandrolone (24u)[DC] (NEWHP: 100)  (Medbay Treatment Center (145, 107, 2))
[2018-09-04 21:52:20.520] ATTACK: SuperbDingaling/(Mateo Keppel) has fed SuperbDingaling/(Mateo Keppel) with silver_sulfadiazine (20u)[DC] (NEWHP: 100)  (Medbay Treatment Center (145, 107, 2))
[2018-09-04 21:52:22.764] ATTACK: SuperbDingaling/(Mateo Keppel) has attempted to inject SuperbDingaling/(Mateo Keppel) with [epinephrine medipen] (Epinephrine) (NEWHP: 100)  (Medbay Treatment Center (145, 107, 2))
