[2018-09-05 14:23:24.021] Starting up round ID 2183.
[2018-09-05 14:23:24.021] -------------------------
[2018-09-05 14:27:20.588] ATTACK: Bilary/(Lara Black) has thrown the black shoes (Locker Room (67, 134, 2))
[2018-09-05 14:29:35.283] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Bar (142, 138, 2))
[2018-09-05 14:30:10.647] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:10.697] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:10.751] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:10.796] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:10.819] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:10.896] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:11.397] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:11.447] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:11.497] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:11.546] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:11.563] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:11.645] ATTACK: bilary/(Lara Black) has fired at [wall] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:12.250] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:12.298] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:12.350] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:12.396] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:12.446] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:12.497] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:13.096] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
