[2018-09-05 16:09:40.526] Starting up round ID 2184.
[2018-09-05 16:09:40.527] -------------------------
[2018-09-05 16:13:58.101] ATTACK: Bilary/(Lara Black) has thrown the black shoes (Robotics Lab (176, 118, 2))
[2018-09-05 16:15:11.366] ATTACK: Mr.Cheese1/(Benny Tequila) has grabbed *no key*/(monkey (985)) passive grab (NEWHP: 100)  (Genetics Lab (160, 118, 2))
[2018-09-05 16:15:37.949] ATTACK: Bilary/(Lara Black) has thrown the incomplete medibot assembly (Robotics Lab (175, 122, 2))
[2018-09-05 16:16:36.112] ATTACK: Bilary/(Lara Black) has thrown First-Aid (empty) (Robotics Lab (176, 123, 2))
[2018-09-05 16:16:43.911] ATTACK: Bilary/(Lara Black) has thrown the incomplete medibot assembly (Robotics Lab (175, 122, 2))
[2018-09-05 16:17:14.524] ATTACK: Mr.Cheese1/(Benny Tequila) has attempted to inject Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-05 16:17:14.524] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-05 16:17:14.528] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (158, 117, 2))
[2018-09-05 16:17:15.208] ATTACK: Bilary/(Lara Black) has thrown the cyborg right arm (Robotics Lab (174, 122, 2))
[2018-09-05 16:17:16.996] ATTACK: Bilary/(Lara Black) has thrown the proximity sensor (Robotics Lab (174, 122, 2))
[2018-09-05 16:17:18.174] ATTACK: Bilary/(Lara Black) has thrown the proximity sensor (Robotics Lab (174, 122, 2))
[2018-09-05 16:19:16.003] ATTACK: Bilary/(Lara Black) has thrown the box (Research and Development (184, 122, 2))
[2018-09-05 16:19:44.918] ATTACK: Bilary/(Lara Black) has thrown the rapid part exchange device (Research and Development (184, 122, 2))
[2018-09-05 16:24:20.105] ATTACK: Mr.Cheese1/(Benny Tequila) has climbed onto [wooden table] (Captain's Office (126, 127, 2))
[2018-09-05 16:24:39.351] ATTACK: Mr.Cheese1/(Benny Tequila) has climbed onto [wooden table] (Captain's Office (120, 127, 2))
[2018-09-05 16:24:58.713] ATTACK: Mr.Cheese1/(Benny Tequila) has climbed onto [wooden table] (Captain's Office (126, 127, 2))
[2018-09-05 16:25:27.491] ATTACK: [�Vendomat] has electrocuted Bluezinho/(Popcorn) (NEWHP: 85)  (Primary Tool Storage (67, 148, 2))
[2018-09-05 16:25:44.554] ATTACK: [�Vendomat] has electrocuted Bluezinho/(Popcorn) (NEWHP: 78.3)  (Primary Tool Storage (67, 148, 2))
[2018-09-05 16:26:03.514] ATTACK: Bluezinho/(Popcorn) has thrown the budget insulated gloves (Primary Tool Storage (74, 146, 2))
[2018-09-05 16:27:14.787] ATTACK: [�Vendomat] has electrocuted Bluezinho/(Popcorn) (NEWHP: 75.2)  (Primary Tool Storage (67, 148, 2))
[2018-09-05 16:27:27.810] ATTACK: Bluezinho/(Popcorn) has thrown the budget insulated gloves (Primary Tool Storage (68, 147, 2))
[2018-09-05 16:27:42.670] ATTACK: [�Vendomat] has electrocuted Bluezinho/(Popcorn) (NEWHP: 65.6)  (Primary Tool Storage (67, 148, 2))
[2018-09-05 16:28:52.844] ATTACK: [�Vendomat] has electrocuted Bluezinho/(Popcorn) (NEWHP: 59.8)  (Primary Tool Storage (67, 148, 2))
[2018-09-05 16:29:37.289] ATTACK: Mr.Cheese1/(Benny Tequila) has climbed onto [reinforced table] (Bar (142, 137, 2))
[2018-09-05 16:29:50.040] ATTACK: Mr.Cheese1/(Benny Tequila) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-09-05 16:30:35.901] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:36.745] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:37.712] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:38.537] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:39.335] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:40.143] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:40.953] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:41.909] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:42.856] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:43.695] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:44.575] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:45.412] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:46.357] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:47.353] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:48.238] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:49.057] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:49.854] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:50.664] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:52.163] ATTACK: Mr.Cheese1/(Benny Tequila) has deactivates the hover field of [display case] (Captain's Office (125, 130, 2))
