[2018-09-05 18:43:04.448] Starting up round ID 2185.
[2018-09-05 18:43:04.448] -------------------------
[2018-09-05 18:48:29.540] ATTACK: Goodie_boy/(Dan Ox) has thrown the first-aid kit (Kitchen (147, 156, 2))
[2018-09-05 18:49:44.972] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the fedora (Atrium (144, 165, 2))
[2018-09-05 18:50:06.410] ATTACK: Drunkenpeasant/(Franken Slime) has attempted to disarm Luka Noktorios/(Moth Salts) (NEWHP: 100)  (Research Division (126, 90, 2))
[2018-09-05 18:50:07.949] ATTACK: Drunkenpeasant/(Franken Slime) has disarmed Drunkenpeasant/(Franken Slime) (NEWHP: 100)  (Research Division (138, 90, 2))
[2018-09-05 18:50:28.257] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (126, 91, 2))
[2018-09-05 18:50:29.544] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (127, 91, 2))
[2018-09-05 18:50:32.349] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (129, 91, 2))
[2018-09-05 18:50:34.501] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (125, 91, 2))
[2018-09-05 18:50:36.978] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (141, 91, 2))
[2018-09-05 18:50:40.303] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (122, 91, 2))
[2018-09-05 18:50:40.307] ATTACK: Luka Noktorios/(Moth Salts) has shot Drunkenpeasant/(Franken Slime) with [disabler beam] (NEWHP: 100)  (Research Division (122, 91, 2))
[2018-09-05 18:50:43.818] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [disabler beam] from Research Division (Research Division (133, 91, 2))
[2018-09-05 18:50:43.822] ATTACK: Luka Noktorios/(Moth Salts) has shot Drunkenpeasant/(Franken Slime) with [disabler beam] (NEWHP: 100)  (Research Division (133, 91, 2))
[2018-09-05 18:50:52.187] ATTACK: Drunkenpeasant/(Franken Slime) has pushed over Drunkenpeasant/(Franken Slime) (NEWHP: 100)  (Research Division (128, 90, 2))
[2018-09-05 18:51:00.856] ATTACK: Jaedo/(Amiyah McDonald) has climbed onto [reinforced table] (Kitchen (147, 157, 2))
[2018-09-05 18:51:07.457] ATTACK: Goodie_boy/(Dan Ox) has thrown the backpack (Kitchen (144, 152, 2))
[2018-09-05 18:52:02.480] ATTACK: Luka Noktorios/(Moth Salts) has thrown Research Director action figure (Research Director's Office (136, 85, 2))
[2018-09-05 18:55:25.177] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:26.112] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:27.012] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:27.855] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:28.724] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:29.680] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:30.623] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:31.432] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:32.347] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:33.498] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:34.290] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
[2018-09-05 18:55:35.186] ATTACK: Thegoodgoo/(Silly Willy) has attacked [fire axe cabinet] with [emergency toolbox] (Bridge (146, 138, 2))
