[2018-09-08 00:47:31.959] Starting up round ID 2204.
[2018-09-08 00:47:31.959] -------------------------
[2018-09-08 00:51:37.226] ATTACK: Bilary/(Lara Black) has thrown the barcode scanner (Library (81, 123, 2))
[2018-09-08 00:51:39.602] ATTACK: Bilary/(Lara Black) has thrown the soapstone (Library (79, 123, 2))
[2018-09-08 00:53:19.817] ATTACK: Angryman666/(Avery Seelig) has implanted Angryman666/(Avery Seelig) with an emp implant[DC] (NEWHP: 100)  (Mining Office (69, 160, 2))
[2018-09-08 00:53:54.926] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(mouse) (NEWHP: 2)  (Engineering (175, 159, 2))
[2018-09-08 00:53:55.742] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(mouse) (NEWHP: 0)  (Engineering (175, 159, 2))
[2018-09-08 00:54:06.484] ATTACK: ChippedIce/(Hana Robusto) has fired at [floor] with [energy snare] from Central Primary Hallway (Central Primary Hallway (102, 113, 2))
[2018-09-08 00:54:06.557] ATTACK: ChippedIce/(Hana Robusto) has shot bilary/(Lara Black) with [energy snare] (NEWHP: 100)  (Central Primary Hallway (102, 113, 2))
[2018-09-08 00:54:15.471] ATTACK: ChippedIce/(Hana Robusto) has shaked bilary/(Lara Black) (NEWHP: 100)  (Central Primary Hallway (101, 113, 2))
[2018-09-08 00:54:16.561] ATTACK: ChippedIce/(Hana Robusto) has stripped the energy snare off bilary/(Lara Black) (NEWHP: 100)  (Central Primary Hallway (101, 113, 2))
[2018-09-08 00:54:34.377] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:34.753] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:35.230] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:35.753] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:36.270] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:36.776] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:37.277] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:37.773] ATTACK: Angryman666/(Avery Seelig) has fired at [display case] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:38.227] ATTACK: Angryman666/(Avery Seelig) has fired at [shard] with [laser] from Captain's Quarters (Captain's Quarters (119, 135, 2))
[2018-09-08 00:54:40.400] ATTACK: Angryman666/(Avery Seelig) has deactivates the hover field of [display case] (Captain's Quarters (118, 135, 2))
[2018-09-08 00:55:06.202] ATTACK: bilary/(Lara Black) has thrown the banana cream pie (Bridge (113, 130, 2))
[2018-09-08 00:55:06.213] ATTACK: bilary/(Lara Black) has threw and hit ChippedIce/(Hana Robusto) with [banana cream pie] (NEWHP: 100)  (Bridge (113, 130, 2))
[2018-09-08 00:55:12.226] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Command Hallway (Command Hallway (114, 127, 2))
[2018-09-08 00:55:12.328] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [bolt] (NEWHP: 92.8)  (Command Hallway (114, 127, 2))
[2018-09-08 00:55:17.044] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 92.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:17.131] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: 77.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:17.505] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 77.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:17.582] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: 62.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:17.904] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 62.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:17.985] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: 47.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:18.300] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 47.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:18.381] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: 32.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:18.769] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 32.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:18.835] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: 17.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:19.246] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 17.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:19.332] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: 2.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:19.769] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: 2.8)  (Bridge (113, 128, 2))
[2018-09-08 00:55:19.833] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -12.2)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.272] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -12.2)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.332] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -27.2)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.789] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -28)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.882] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -43)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.304] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -43)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.382] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -58)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.808] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -58)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.886] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -73)  (Bridge (113, 128, 2))
[2018-09-08 00:55:23.496] ATTACK: Angryman666/(Avery Seelig) has grabbed ChippedIce/(Hana Robusto) passive grab (NEWHP: -73.9)  (Bridge (113, 130, 2))
[2018-09-08 00:55:32.236] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Bridge (Bridge (101, 132, 2))
[2018-09-08 00:55:35.995] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Command Hallway (Command Hallway (108, 126, 2))
[2018-09-08 00:55:39.088] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Command Hallway (Command Hallway (111, 126, 2))
[2018-09-08 00:55:39.167] ATTACK: Angryman666/(Avery Seelig) has shot bilary/(Lara Black) with [bolt] (NEWHP: 92)  (Command Hallway (110, 126, 2))
[2018-09-08 00:55:43.474] ATTACK: Bobcat49/(Rose White) has thrown the cardboard (Bar (135, 134, 2))
