[2018-09-08 11:31:18.113] Starting up round ID 2209.
[2018-09-08 11:31:18.113] -------------------------
[2018-09-08 11:35:24.792] ATTACK: Bilary/(Lara Black) has thrown the hard hat (Engineering (121, 75, 2))
[2018-09-08 11:37:41.665] ATTACK: Bilary/(Lara Black) has thrown the tablet computer (Engineering (114, 71, 2))
[2018-09-08 11:39:45.435] ATTACK: Bilary/(Lara Black) has thrown the �Geiger counter (Engineering (121, 75, 2))
[2018-09-08 11:39:46.839] ATTACK: Bilary/(Lara Black) has thrown the radiation suit (Engineering (121, 75, 2))
[2018-09-08 11:39:47.846] ATTACK: Bilary/(Lara Black) has thrown the radiation hood (Engineering (121, 75, 2))
[2018-09-08 11:40:00.964] ATTACK: Bilary/(Lara Black) has thrown the industrial welding tool (Engineering (124, 72, 2))
[2018-09-08 11:42:08.360] ATTACK: Bilary/(Lara Black) has thrown the cable piece (Space (61, 113, 2))
[2018-09-08 11:44:42.282] ATTACK: SunoPerson/(Suno Fang) has slipped on the [soap] (Captain's Office (124, 120, 2))
[2018-09-08 11:47:21.308] ATTACK: Bilary/(Lara Black) has thrown the rapid cable layer (Engineering (109, 79, 2))
[2018-09-08 11:47:42.692] ATTACK: Bilary/(Lara Black) has thrown the �T-ray scanner (Aft Primary Hallway (113, 99, 2))
[2018-09-08 11:48:55.678] ATTACK: Bilary/(Lara Black) has attacked [Core R&D Console] with [metal] (Research and Development (184, 123, 2))
[2018-09-08 12:02:17.107] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (159, 118, 2))
[2018-09-08 12:03:10.783] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Robotics Lab (167, 119, 2))
[2018-09-08 12:05:38.328] ATTACK: SunoPerson/(Suno Fang) has fed *no key*/(monkey (710)) with mutadone (50u)[DC] (NEWHP: 100)  (Genetics Lab (160, 117, 2))
[2018-09-08 12:05:44.169] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Ulric Northey) passive grab (NEWHP: 100)  (Genetics Lab (160, 118, 2))
[2018-09-08 12:05:49.401] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Ulric Northey) passive grab (NEWHP: 100)  (Genetics Lab (161, 118, 2))
[2018-09-08 12:05:54.719] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Ulric Northey) passive grab (NEWHP: 100)  (Genetics Lab (160, 118, 2))
