[2018-09-09 00:12:38.231] Starting up round ID 2217.
[2018-09-09 00:12:38.231] -------------------------
[2018-09-09 00:18:19.762] ATTACK: Bobcat49/(Rose White) has thrown the hard hat (Engineering (111, 79, 2))
[2018-09-09 00:18:50.151] ATTACK: Luka Noktorios/(Moth Salts) has thrown the analyzer (Primary Tool Storage (74, 147, 2))
[2018-09-09 00:21:05.056] ATTACK: Swindel_/(Tul-Ullis) has thrown the egg (Bar (141, 134, 2))
[2018-09-09 00:22:47.623] ATTACK: Bobcat49/(Rose White) has thrown the metal rod (Space (111, 40, 2))
[2018-09-09 00:23:03.028] ATTACK: Bobcat49/(Rose White) has thrown the metal rod (Space (75, 57, 2))
[2018-09-09 00:24:53.842] ATTACK: Bobcat49/(Rose White) has attacked Bobcat49/(Rose White) with rapid cable layer[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 96.5)  (Port Bow Solar Array (64, 180, 2))
[2018-09-09 00:28:41.513] ATTACK: Bobcat49/(Rose White) has thrown the metal rod (Space (208, 124, 2))
[2018-09-09 00:28:46.435] ATTACK: Luka Noktorios/(Moth Salts) has thrown the shot glass (Bar (143, 136, 2))
[2018-09-09 00:29:11.172] ATTACK: Bobcat49/(Rose White) has attacked [grille] with [metal rod] (Space (198, 75, 2))
[2018-09-09 00:29:24.000] ATTACK: Bobcat49/(Rose White) has attacked [reinforced window] with [reinforced glass] (Space (197, 75, 2))
[2018-09-09 00:29:26.746] ATTACK: Bobcat49/(Rose White) has thrown the reinforced glass (Space (198, 75, 2))
[2018-09-09 00:32:24.690] ATTACK: Bobcat49/(Rose White) has thrown the metal rod (Engineering (100, 74, 2))
[2018-09-09 00:32:29.406] ATTACK: Bobcat49/(Rose White) has thrown the rapid cable layer (Engineering (107, 79, 2))
[2018-09-09 00:39:50.900] ATTACK: Luka Noktorios/(Moth Salts) has thrown the glass of ice (Bar (140, 133, 2))
[2018-09-09 00:39:55.291] ATTACK: Luka Noktorios/(Moth Salts) has thrown the glass of ice (Bar (140, 135, 2))
[2018-09-09 00:39:55.346] ATTACK: Luka Noktorios/(Moth Salts) has threw and hit *no key*/(Grodd IX) with [glass of ice] (NEWHP: 100)  (Bar (140, 135, 2))
[2018-09-09 00:41:06.219] ATTACK: *no key*/(Grodd IX) has attacked Luka Noktorios/(Moth Salts) with broken glass of ice[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 89.9)  (Bar (139, 138, 2))
[2018-09-09 00:41:26.313] ATTACK: *no key*/(Grodd IX) has attacked Luka Noktorios/(Moth Salts) (NEWHP: 89.9)  (Bar (143, 133, 2))
[2018-09-09 00:41:59.245] ATTACK: *no key*/(Grodd IX) has attacked Luka Noktorios/(Moth Salts) (NEWHP: 88.6)  (Bar (141, 138, 2))
[2018-09-09 00:42:01.287] ATTACK: *no key*/(Grodd IX) has attacked Luka Noktorios/(Moth Salts) (NEWHP: 87.8)  (Bar (141, 138, 2))
[2018-09-09 00:42:07.255] ATTACK: *no key*/(Grodd IX) has attacked Luka Noktorios/(Moth Salts) (NEWHP: 85.7)  (Bar (141, 133, 2))
[2018-09-09 00:42:07.272] ATTACK: Luka Noktorios/(Moth Salts) has fired at [floor] with [beanbag slug] from Bar (Bar (141, 132, 2))
[2018-09-09 00:42:07.275] ATTACK: Luka Noktorios/(Moth Salts) has shot *no key*/(Grodd IX) with [beanbag slug] (NEWHP: 95)  (Bar (141, 132, 2))
[2018-09-09 00:42:08.490] ATTACK: Luka Noktorios/(Moth Salts) has fired at *no key*/(Grodd IX) with [beanbag slug] from Bar (NEWHP: 95)  (Bar (141, 132, 2))
[2018-09-09 00:42:08.492] ATTACK: Luka Noktorios/(Moth Salts) has shot *no key*/(Grodd IX) with [beanbag slug] (NEWHP: 91.2)  (Bar (141, 132, 2))
[2018-09-09 00:42:29.824] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 82.2)  (Bar (141, 132, 2))
[2018-09-09 00:42:30.777] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 75.5)  (Bar (141, 132, 2))
[2018-09-09 00:42:31.363] ATTACK: *no key*/(Grodd IX) has attacked Luka Noktorios/(Moth Salts) (NEWHP: 83.6)  (Bar (142, 133, 2))
[2018-09-09 00:42:31.685] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 66.5)  (Bar (141, 132, 2))
[2018-09-09 00:42:32.518] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 59.7)  (Bar (141, 132, 2))
[2018-09-09 00:42:33.379] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 50.7)  (Bar (141, 132, 2))
[2018-09-09 00:42:34.248] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 41.7)  (Bar (141, 132, 2))
[2018-09-09 00:42:35.137] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 32.7)  (Bar (141, 132, 2))
[2018-09-09 00:42:35.983] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 26)  (Bar (141, 132, 2))
[2018-09-09 00:42:36.849] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 17)  (Bar (141, 132, 2))
[2018-09-09 00:42:37.668] ATTACK: Luka Noktorios/(Moth Salts) has attacked [bar stool] with [broken glass of ice] (Bar (141, 132, 2))
[2018-09-09 00:42:42.883] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 10.2)  (Bar (136, 132, 2))
[2018-09-09 00:42:48.084] ATTACK: Luka Noktorios/(Moth Salts) has attacked [stool] with [broken glass of ice] (Bar (133, 139, 2))
[2018-09-09 00:42:49.815] ATTACK: Luka Noktorios/(Moth Salts) has attacked [The Orion Trail] with [broken glass of ice] (Bar (132, 133, 2))
[2018-09-09 00:42:50.694] ATTACK: Luka Noktorios/(Moth Salts) has attacked [chair] with [broken glass of ice] (Bar (139, 133, 2))
[2018-09-09 00:42:51.789] ATTACK: Luka Noktorios/(Moth Salts) has attacked [Kitchen] with [broken glass of ice] (Bar (145, 133, 2))
[2018-09-09 00:42:59.484] ATTACK: Luka Noktorios/(Moth Salts) has attacked [smartfridge] with [broken glass of ice] (Kitchen (154, 137, 2))
[2018-09-09 00:43:03.390] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 1.2)  (Bar (133, 133, 2))
[2018-09-09 00:43:06.125] ATTACK: Luka Noktorios/(Moth Salts) has attacked [table] with [broken glass of ice] (Bar (132, 138, 2))
[2018-09-09 00:43:08.717] ATTACK: Luka Noktorios/(Moth Salts) has attacked [window] with [broken glass of ice] (Bar (140, 139, 2))
[2018-09-09 00:43:09.969] ATTACK: swindel/(Tul-Ullis) has thrown 'Freeform' AI Module (AI Upload Chamber (116, 130, 2))
[2018-09-09 00:43:18.602] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -5.5)  (Bar (144, 132, 2))
[2018-09-09 00:43:19.812] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -14.5)  (Bar (144, 132, 2))
[2018-09-09 00:43:20.743] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -23.5)  (Bar (144, 132, 2))
