[2018-09-09 16:24:16.977] Starting up round ID 2226.
[2018-09-09 16:24:16.977] -------------------------
[2018-09-09 16:29:35.299] ATTACK: TwoTar/(Deeja-Chee) has thrown the folder (Xenobiology Lab (169, 101, 2))
[2018-09-09 16:29:37.008] ATTACK: TwoTar/(Deeja-Chee) has thrown the pen (Xenobiology Lab (169, 101, 2))
[2018-09-09 16:29:39.405] ATTACK: TwoTar/(Deeja-Chee) has thrown the paper bin (Xenobiology Lab (169, 101, 2))
[2018-09-09 16:29:41.181] ATTACK: TwoTar/(Deeja-Chee) has thrown the box of syringes (Xenobiology Lab (167, 101, 2))
[2018-09-09 16:29:42.557] ATTACK: TwoTar/(Deeja-Chee) has thrown the box of beakers (Xenobiology Lab (167, 101, 2))
[2018-09-09 16:29:51.111] ATTACK: TwoTar/(Deeja-Chee) has thrown the large beaker (Xenobiology Lab (175, 101, 2))
[2018-09-09 16:29:52.615] ATTACK: TwoTar/(Deeja-Chee) has thrown the beaker (Xenobiology Lab (175, 101, 2))
[2018-09-09 16:31:38.720] ATTACK: TwoTar/(Deeja-Chee) has thrown the wrench (Xenobiology Lab (171, 101, 2))
[2018-09-09 16:31:46.230] ATTACK: Pandolphina/(Hugo Dickinson) has pushed *no key*/(Grodd XII) (NEWHP: 100)  (Bar (144, 137, 2))
[2018-09-09 16:31:51.138] ATTACK: Pandolphina/(Hugo Dickinson) has grabbed *no key*/(Grodd XII) passive grab (NEWHP: 100)  (Bar (144, 137, 2))
[2018-09-09 16:31:52.126] ATTACK: Pandolphina/(Hugo Dickinson) has grabbed *no key*/(Grodd XII) aggressive grab (NEWHP: 100)  (Bar (144, 137, 2))
[2018-09-09 16:31:52.822] ATTACK: *no key*/(Grodd XII) has resisted grab Pandolphina/(Hugo Dickinson) (NEWHP: 100)  (Bar (144, 137, 2))
[2018-09-09 16:31:54.502] ATTACK: Pandolphina/(Hugo Dickinson) has thrown *no key*/(Grodd XII) grab from tile in Bar (144, 134, 2) towards tile at Kitchen (148, 135, 2) (NEWHP: 100)  (Bar (144, 134, 2))
[2018-09-09 16:31:54.503] ATTACK: Pandolphina/(Hugo Dickinson) has thrown Grodd XII (Bar (144, 134, 2))
[2018-09-09 16:32:00.439] ATTACK: GreenTea98/(Helps-The-Station) has grabbed *no key*/(Grodd XII) passive grab (NEWHP: 100)  (Kitchen (149, 137, 2))
[2018-09-09 16:32:06.958] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 90)  (Kitchen (150, 140, 2))
[2018-09-09 16:32:07.498] ATTACK: *no key*/(Grodd XII) has attacked GreenTea98/(Helps-The-Station) (NEWHP: 100)  (Kitchen (150, 141, 2))
[2018-09-09 16:32:07.912] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 80)  (Kitchen (151, 140, 2))
[2018-09-09 16:32:08.895] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 72.5)  (Kitchen (151, 140, 2))
[2018-09-09 16:32:09.786] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) (NEWHP: 63.5)  (Kitchen (151, 140, 2))
[2018-09-09 16:32:10.881] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) (NEWHP: 58.2)  (Kitchen (151, 140, 2))
[2018-09-09 16:32:13.521] ATTACK: *no key*/(Grodd XII) has attacked GreenTea98/(Helps-The-Station) (NEWHP: 97.7)  (Kitchen (150, 141, 2))
[2018-09-09 16:32:14.512] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 50.7)  (Kitchen (151, 140, 2))
[2018-09-09 16:32:15.312] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40.7)  (Kitchen (151, 140, 2))
[2018-09-09 16:32:16.161] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30.7)  (Kitchen (151, 141, 2))
[2018-09-09 16:32:16.999] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 23.2)  (Kitchen (151, 141, 2))
[2018-09-09 16:32:19.296] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15.7)  (Kitchen (150, 141, 2))
[2018-09-09 16:32:20.281] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 5.7)  (Kitchen (150, 141, 2))
