[2018-09-09 21:37:28.943] Starting up round ID 2232.
[2018-09-09 21:37:28.943] -------------------------
[2018-09-09 21:43:07.630] ATTACK: Bilary/(Lara Black) has thrown the helmet (Security Office (123, 179, 2))
[2018-09-09 21:43:07.862] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 300)  (Lavaland Wastes (201, 213, 5))
[2018-09-09 21:43:10.417] ATTACK: *no key*/(goliath) has attacked *no key*/(Clown) (NEWHP: 55)  (Lavaland Wastes (202, 214, 5))
[2018-09-09 21:43:10.420] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 290)  (Lavaland Wastes (201, 213, 5))
[2018-09-09 21:43:10.425] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 280)  (Lavaland Wastes (201, 214, 5))
[2018-09-09 21:43:12.831] ATTACK: *no key*/(goliath) has attacked *no key*/(Clown) (NEWHP: 47)  (Lavaland Wastes (202, 214, 5))
[2018-09-09 21:43:12.836] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 270)  (Lavaland Wastes (201, 213, 5))
[2018-09-09 21:43:12.841] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 260)  (Lavaland Wastes (201, 214, 5))
[2018-09-09 21:43:14.889] ATTACK: *no key*/(goliath) has attacked *no key*/(Clown) (NEWHP: 14)  (Lavaland Wastes (202, 214, 5))
[2018-09-09 21:43:14.973] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 250)  (Lavaland Wastes (201, 214, 5))
[2018-09-09 21:43:17.076] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 240)  (Lavaland Wastes (201, 213, 5))
[2018-09-09 21:43:17.081] ATTACK: *no key*/(goliath) has attacked *no key*/(Clown) (NEWHP: 31)  (Lavaland Wastes (202, 214, 5))
[2018-09-09 21:43:17.088] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 230)  (Lavaland Wastes (201, 214, 5))
[2018-09-09 21:43:19.287] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 220)  (Lavaland Wastes (201, 214, 5))
[2018-09-09 21:43:22.488] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the box (Mining Dock (88, 109, 2))
[2018-09-09 21:43:32.397] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the seclite (Mining Dock (88, 108, 2))
[2018-09-09 21:45:37.759] ATTACK: Bilary/(Lara Black) has thrown the security jumpskirt (Fore Primary Hallway (118, 162, 2))
[2018-09-09 21:45:42.660] ATTACK: Bobcat49/(Rose White) has grabbed *no key*/(C.L.E.A.N.) passive grab (NEWHP: 25)  (Medbay Central (143, 121, 2))
