[2018-09-10 00:50:25.531] Starting up round ID 2233.
[2018-09-10 00:50:25.532] -------------------------
[2018-09-10 00:55:43.741] ATTACK: Wumbowigis/(William Oranje) has thrown the top-hat (Bar (145, 135, 2))
[2018-09-10 00:58:27.302] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the box (Mining Dock (88, 111, 2))
[2018-09-10 01:01:48.882] ATTACK: Goodie_boy/(Dan Ox) has thrown the whetstone (Kitchen (147, 137, 2))
[2018-09-10 01:02:03.986] ATTACK: Goodie_boy/(Dan Ox) has thrown the chef's apron (Kitchen (152, 141, 2))
[2018-09-10 01:02:24.535] ATTACK: Goodie_boy/(Dan Ox) has grabbed *no key*/(Pete) passive grab (NEWHP: 40)  (Kitchen (150, 139, 2))
[2018-09-10 01:02:27.046] ATTACK: Goodie_boy/(Dan Ox) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 26)  (Kitchen (152, 137, 2))
[2018-09-10 01:02:28.226] ATTACK: Goodie_boy/(Dan Ox) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 12)  (Kitchen (152, 137, 2))
[2018-09-10 01:02:29.086] ATTACK: Goodie_boy/(Dan Ox) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (152, 137, 2))
[2018-09-10 01:03:31.636] ATTACK: Bigboymcman/(Alpha Chad) has attacked Bigboymcman/(Alpha Chad) with boxing gloves[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Dormitories (118, 154, 2))
[2018-09-10 01:04:49.916] ATTACK: Goodie_boy/(Dan Ox) has thrown the cardboard (Starboard Primary Hallway (151, 130, 2))
[2018-09-10 01:05:03.990] ATTACK: Bigboymcman/(Alpha Chad) has attacked Bigboymcman/(Alpha Chad) with boxing gloves[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Fitness Room (140, 155, 2))
[2018-09-10 01:05:30.910] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: 100)  (Genetics Lab (159, 118, 2))
[2018-09-10 01:05:43.963] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: 100)  (Genetics Lab (153, 114, 2))
