[2018-09-10 02:47:14.251] Starting up round ID 2234.
[2018-09-10 02:47:14.252] -------------------------
[2018-09-10 02:51:09.904] ATTACK: Camwarp/(Sigma) has electrified [AI Core] (AI Chamber (150, 32, 2))
[2018-09-10 02:53:05.842] ATTACK: CthulhuOnIce/(Declan Judge) learned the martial art sleeping carp (The Sleeping Carp) (Medbay Central (153, 110, 2))
[2018-09-10 02:53:57.607] ATTACK: X1pr0/(Etika) has grabbed Wumbowigis2/(Oranje Willum) passive grab (NEWHP: 100)  (Medbay Central (140, 122, 2))
[2018-09-10 02:54:22.917] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 30)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:23.689] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 20)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:24.179] ATTACK: *no key*/(Pete) has attacked GarfielfSpecies/(Shiny Baby Boy) (NEWHP: 100)  (Kitchen (150, 140, 2))
[2018-09-10 02:54:24.532] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 10)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:25.370] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:26.143] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:26.530] ATTACK: X1pr0/(Etika) has grabbed *no key*/(monkey (46)) passive grab (NEWHP: 100)  (Genetics Lab (159, 118, 2))
[2018-09-10 02:54:26.970] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:27.820] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:28.694] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:29.527] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (150, 139, 2))
[2018-09-10 02:54:32.795] ATTACK: X1pr0/(Etika) has grabbed *no key*/(monkey (46)) aggressive grab (NEWHP: 100)  (Genetics Lab (159, 118, 2))
[2018-09-10 02:54:34.261] ATTACK: X1pr0/(Etika) has attempted to neck grab *no key*/(monkey (46)) neck grab (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-10 02:54:34.376] ATTACK: *no key*/(monkey (46)) has resisted grab X1pr0/(Etika) (NEWHP: 100)  (Genetics Lab (158, 118, 2))
[2018-09-10 02:54:37.222] ATTACK: X1pr0/(Etika) has grabbed *no key*/(monkey (46)) neck grab (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-10 02:54:38.225] ATTACK: Wumbowigis2/(Oranje Willum) has fed GarfielfSpecies/(Shiny Baby Boy) with martini (30u)[DC] (NEWHP: 99.2)  (Kitchen (150, 138, 2))
[2018-09-10 02:54:45.195] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Pete) with space violin[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (151, 140, 2))
[2018-09-10 02:54:51.517] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has grabbed *no key*/(Pete) passive grab (NEWHP: 0)  (Kitchen (151, 140, 2))
[2018-09-10 02:55:39.354] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has grabbed *no key*/(Pete) aggressive grab (NEWHP: 0)  (Kitchen (149, 137, 2))
