[2018-09-10 04:43:04.954] Starting up round ID 2236.
[2018-09-10 04:43:04.954] -------------------------
[2018-09-10 09:59:46.697] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2500)  (Lavaland Wastes (138, 129, 5))
[2018-09-10 09:59:46.701] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2490)  (Lavaland Wastes (139, 129, 5))
[2018-09-10 09:59:48.820] ATTACK: *no key*/(ash drake) has attacked *no key*/(Clown) (NEWHP: 43)  (Lavaland Wastes (138, 130, 5))
[2018-09-10 09:59:48.867] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2480)  (Lavaland Wastes (138, 129, 5))
[2018-09-10 09:59:48.917] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2470)  (Lavaland Wastes (139, 129, 5))
[2018-09-10 09:59:51.099] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2460)  (Lavaland Wastes (139, 129, 5))
[2018-09-10 09:59:53.198] ATTACK: *no key*/(ash drake) has attacked *no key*/(Giggles) (NEWHP: 90)  (Lavaland Wastes (138, 129, 5))
[2018-09-10 09:59:53.241] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2500)  (Lavaland Wastes (139, 129, 5))
[2018-09-10 09:59:55.390] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2490)  (Lavaland Wastes (139, 129, 5))
[2018-09-10 09:59:57.464] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2480)  (Lavaland Wastes (139, 128, 5))
[2018-09-10 09:59:59.585] ATTACK: *no key*/(ash drake) has attacked *no key*/(Clown) (NEWHP: 51)  (Lavaland Labor Camp (141, 126, 5))
[2018-09-10 09:59:59.618] ATTACK: *no key*/(Clown) has attacked *no key*/(ash drake) (NEWHP: 2470)  (Lavaland Labor Camp (140, 127, 5))
[2018-09-10 10:00:13.243] ATTACK: *no key*/(ash drake) has attacked *no key*/(Flop O'Honker) (NEWHP: 26.4)  (Lavaland Labor Camp (134, 126, 5))
[2018-09-10 10:00:25.833] ATTACK: *no key*/(ash drake) has attacked *no key*/(Jo Jo Bobo Bo) (NEWHP: 77.1)  (Lavaland Labor Camp (141, 126, 5))
