[2018-09-12 18:36:10.032] Starting up round ID 2259.
[2018-09-12 18:36:10.032] -------------------------
[2018-09-12 18:41:11.583] ATTACK: Bilary/(Oui Oui) has thrown the box (Medbay Central (141, 126, 2))
[2018-09-12 18:43:25.949] ATTACK: Juicy_Chicken/(Connor Shade) has climbed onto [wooden table] (Captain's Office (122, 125, 2))
[2018-09-12 18:44:00.360] ATTACK: bilary/(Onasha-Akish) has thrown the experimental welding tool (Unexplored Location (130, 40, 5))
[2018-09-12 18:44:03.348] ATTACK: bilary/(Onasha-Akish) has grabbed *no key*/(Joachim King) passive grab (NEWHP: -750.9)  (Lavaland Wastes (128, 34, 5))
[2018-09-12 18:44:13.498] ATTACK: bilary/(Onasha-Akish) has grabbed *no key*/(Mauricio Owens) passive grab (NEWHP: -765.9)  (Lavaland Wastes (138, 37, 5))
[2018-09-12 18:44:24.468] ATTACK: bilary/(Onasha-Akish) has thrown the suspicious looking toolbox (Unexplored Location (131, 44, 5))
[2018-09-12 18:44:52.058] ATTACK: bilary/(Onasha-Akish) has thrown the pickaxe (Lavaland Wastes (144, 37, 5))
[2018-09-12 18:44:55.950] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 282)  (Lavaland Wastes (155, 44, 5))
[2018-09-12 18:44:59.119] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 264)  (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:45:01.196] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 246)  (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:45:02.209] ATTACK: *no key*/(goliath) has attacked bilary/(Onasha-Akish) (NEWHP: 100)  (Lavaland Wastes (154, 46, 5))
[2018-09-12 18:45:03.036] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 228)  (Lavaland Wastes (153, 46, 5))
[2018-09-12 18:45:04.076] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 210)  (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:45:09.713] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 192)  (Lavaland Wastes (152, 46, 5))
[2018-09-12 18:45:12.522] ATTACK: bilary/(Onasha-Akish) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 174)  (Lavaland Wastes (151, 46, 5))
[2018-09-12 18:45:25.841] ATTACK: *no key*/(goliath) has attacked bilary/(Onasha-Akish) (NEWHP: 69.8)  (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:45:27.856] ATTACK: *no key*/(goliath) has attacked bilary/(Onasha-Akish) (NEWHP: 44.8)  (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:45:29.858] ATTACK: *no key*/(goliath) has attacked bilary/(Onasha-Akish) (NEWHP: 19.8)  (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:45:31.854] ATTACK: *no key*/(goliath) has attacked bilary/(Onasha-Akish) (NEWHP: -6)  (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:45:33.855] ATTACK: *no key*/(goliath) has attacked bilary/(Onasha-Akish) (NEWHP: -25.6)  (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:45:45.721] ATTACK: bilary/(Onasha-Akish) Has succumbed to death while in hard critical with -32.1 points of health! (Lavaland Wastes (147, 44, 5))
[2018-09-12 18:46:18.352] ATTACK: *no key*/(goliath) has attacked bilary/(Mim-Hul) (NEWHP: 100)  (Lavaland Wastes (149, 44, 5))
[2018-09-12 18:46:18.893] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 156)  (Lavaland Wastes (148, 44, 5))
